to	similarity	from	from_sps	to_sps
Nvec|precursors	0	HoiH23|peptidergic	HoiH23	Nvec
Nvec|neuron	0.524085778890313	HoiH23|peptidergic	HoiH23	Nvec
Nvec|gland	0.468376226693941	HoiH23|peptidergic	HoiH23	Nvec
Hvul|cnidocyte	0	HoiH23|peptidergic	HoiH23	Hvul
Hvul|gastrodermis	0.00640720879889157	HoiH23|peptidergic	HoiH23	Hvul
Hvul|epidermis	0.0702117507453462	HoiH23|peptidergic	HoiH23	Hvul
Hvul|germline	0	HoiH23|peptidergic	HoiH23	Hvul
Hvul|precursors	0	HoiH23|peptidergic	HoiH23	Hvul
Hvul|neuron	0.63548919055	HoiH23|peptidergic	HoiH23	Hvul
Hvul|gland	0.0233039196502967	HoiH23|peptidergic	HoiH23	Hvul
Spis|cnidocyte	0.217620571101004	HoiH23|peptidergic	HoiH23	Spis
Spis|gastrodermis	0	HoiH23|peptidergic	HoiH23	Spis
Spis|alga-hosting_cells	0	HoiH23|peptidergic	HoiH23	Spis
Spis|mitotic_host_cells	0.0605610912079148	HoiH23|peptidergic	HoiH23	Spis
Spis|germline	0	HoiH23|peptidergic	HoiH23	Spis
Spis|digestive	0.0592759800860485	HoiH23|peptidergic	HoiH23	Spis
Spis|epidermis	0	HoiH23|peptidergic	HoiH23	Spis
Spis|calicoblast	0.0187004458479369	HoiH23|peptidergic	HoiH23	Spis
Spis|neuron	0.551107387036335	HoiH23|peptidergic	HoiH23	Spis
Spis|gland	0.230220244018315	HoiH23|peptidergic	HoiH23	Spis
Spis|unknown	0.0753913756630191	HoiH23|peptidergic	HoiH23	Spis
Spis|immune	0.146591134938883	HoiH23|peptidergic	HoiH23	Spis
Mmus|marrow	0	HoiH23|peptidergic	HoiH23	Mmus
Mmus|vascular_cells	0.198167830844842	HoiH23|peptidergic	HoiH23	Mmus
Mmus|glia	0.428403283910646	HoiH23|peptidergic	HoiH23	Mmus
Mmus|lung	0.177213954718103	HoiH23|peptidergic	HoiH23	Mmus
Mmus|liver	0.0635412576606378	HoiH23|peptidergic	HoiH23	Mmus
Mmus|trachea	0	HoiH23|peptidergic	HoiH23	Mmus
Mmus|limb_muscle	0	HoiH23|peptidergic	HoiH23	Mmus
Mmus|kidney	0.0651636061411079	HoiH23|peptidergic	HoiH23	Mmus
Mmus|tongue	0	HoiH23|peptidergic	HoiH23	Mmus
Mmus|heart_and_aorta	0.387948150715906	HoiH23|peptidergic	HoiH23	Mmus
Mmus|bladder	0	HoiH23|peptidergic	HoiH23	Mmus
Mmus|mammary_gland	0	HoiH23|peptidergic	HoiH23	Mmus
Mmus|neuron	0.424173272933673	HoiH23|peptidergic	HoiH23	Mmus
Mmus|spleen	0	HoiH23|peptidergic	HoiH23	Mmus
Mmus|immune_cells	0.0992300096004422	HoiH23|peptidergic	HoiH23	Mmus
Mmus|thymus	0	HoiH23|peptidergic	HoiH23	Mmus
Dmel|Female_Reproductive_System	0	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Muscle_Cell	0.0671791163180553	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Epithelial_Cell	0.251325128433652	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Hemocyte	0	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Glial_Cell	0.307297618448083	HoiH23|peptidergic	HoiH23	Dmel
Dmel|unannotated	0.601814400488825	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Gland	0	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Male_Reproductive_System	0.29570880964728	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Male_Germline_Cell	0	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Adipose_System	0	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Excretory_System	0.142776213005568	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Gut_Cell	0.0569260457579081	HoiH23|peptidergic	HoiH23	Dmel
Dmel|neuron	0.527206932097135	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Oenocyte	0.00605255856433713	HoiH23|peptidergic	HoiH23	Dmel
Dmel|neuron_other_cells	0	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Cardial_Cell	0.179569817445462	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Tracheal_Cell	0	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Germline_Cell	0	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Pigment_Cell	0.328496013476333	HoiH23|peptidergic	HoiH23	Dmel
Dmel|Female_Germline_Cell	0	HoiH23|peptidergic	HoiH23	Dmel
Mlei|digestive	0.145826132166854	HoiH23|peptidergic	HoiH23	Mlei
Mlei|epithelia	0	HoiH23|peptidergic	HoiH23	Mlei
Mlei|unknown	0	HoiH23|peptidergic	HoiH23	Mlei
Mlei|neuron	0.00257364479639562	HoiH23|peptidergic	HoiH23	Mlei
Mlei|muscle	0.13741789109239	HoiH23|peptidergic	HoiH23	Mlei
Mlei|comb	0.0118745615026203	HoiH23|peptidergic	HoiH23	Mlei
Mlei|lens	0	HoiH23|peptidergic	HoiH23	Mlei
Mlei|tentacle	0.0746603109104543	HoiH23|peptidergic	HoiH23	Mlei
Mlei|colloblast	0.0648175531291371	HoiH23|peptidergic	HoiH23	Mlei
Spolac|archaeocyte	0	HoiH23|peptidergic	HoiH23	Spolac
Spolac|precursor	0	HoiH23|peptidergic	HoiH23	Spolac
Spolac|choanoblast	0.177057505093315	HoiH23|peptidergic	HoiH23	Spolac
Spolac|choanocyte	0.27381876932303	HoiH23|peptidergic	HoiH23	Spolac
Spolac|apopylar_cell	0.364815201649263	HoiH23|peptidergic	HoiH23	Spolac
Spolac|myopeptidocyte	0.157434983640178	HoiH23|peptidergic	HoiH23	Spolac
Spolac|unknown	0	HoiH23|peptidergic	HoiH23	Spolac
Spolac|lophocyte	0.0568584264747818	HoiH23|peptidergic	HoiH23	Spolac
Spolac|pinacocyte	0.476328094988885	HoiH23|peptidergic	HoiH23	Spolac
Spolac|sclerophorocyte	0.0877631555229074	HoiH23|peptidergic	HoiH23	Spolac
Spolac|sclerocyte	0	HoiH23|peptidergic	HoiH23	Spolac
Spolac|granulocyte	0	HoiH23|peptidergic	HoiH23	Spolac
Spolac|metabolocyte	0.0239266121446142	HoiH23|peptidergic	HoiH23	Spolac
Spolac|neuroid	0	HoiH23|peptidergic	HoiH23	Spolac
Spolac|amoebocyte	0	HoiH23|peptidergic	HoiH23	Spolac
Spolac|mesocyte	0.173851567890622	HoiH23|peptidergic	HoiH23	Spolac
