peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu
HoiH23_PlH23_000744	5	12	13	7	8	11	23	7	21	15	23	6	9
HoiH23_orphan_40	0	4	0	1	0	1	0	0	1	0	0	1	1
HoiH23_PlH23_000745	0	0	0	0	0	0	1	0	2	0	1	1	2
HoiH23_PlH23_000746	0	2	4	0	1	0	5	7	4	2	5	0	1
HoiH23_PlH23_000747	3	4	8	3	0	2	10	7	21	19	5	8	4
HoiH23_orphan_41	0	0	0	0	0	0	0	1	1	0	0	0	0
HoiH23_PlH23_000750	27	27	56	14	47	9	61	32	81	60	47	26	16
HoiH23_PlH23_000751	0	0	1	0	3	0	3	2	2	0	2	1	0
HoiH23_PlH23_000752	0	0	2	2	0	0	5	2	4	0	3	0	0
HoiH23_orphan_42	1	2	1	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_000756	0	0	0	0	1	0	2	1	2	1	2	0	1
HoiH23_PlH23_000758	0	1	0	0	4	1	0	0	1	1	1	0	0
HoiH23_PlH23_000760	1	2	9	4	4	2	17	10	7	6	4	3	0
HoiH23_PlH23_000762	2	5	8	4	32	1	14	15	21	12	24	3	2
HoiH23_PlH23_000764	0	1	1	0	1	0	1	1	1	0	4	0	0
HoiH23_PlH23_000766	2	1	3	0	0	0	4	1	0	0	0	0	0
HoiH23_PlH23_000767	1	0	3	5	21	15	20	13	24	26	12	0	4
HoiH23_orphan_43	0	0	0	1	1	0	3	2	3	0	1	0	1
HoiH23_PlH23_000768	2	8	11	9	4	4	14	11	9	9	11	11	5
HoiH23_orphan_44	61	107	98	30	58	34	113	72	100	63	138	79	67
HoiH23_PlH23_000772	5	9	21	8	9	3	27	11	16	6	21	13	4
HoiH23_PlH23_000773	0	0	0	0	0	0	3	2	1	1	4	1	0
HoiH23_PlH23_000775	0	2	6	2	3	1	1	1	2	2	3	0	1
HoiH23_PlH23_000777	1	10	4	1	4	0	7	11	3	1	12	0	1
HoiH23_PlH23_000778	0	0	3	0	1	1	4	7	0	3	5	0	0
HoiH23_PlH23_000780	1	1	2	0	0	0	1	2	6	0	1	0	0
