peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00107.t1	0	1	0	0	0	1	2	0	3	0	3	1	0	5	5
Hhon_g00109.t1	2	2	3	0	2	1	3	0	10	3	5	3	0	1	1
Hhon_g00111.t1	1	7	2	1	7	4	6	18	30	6	18	20	4	15	2
Hhon_g00113.t1	0	2	1	0	2	3	5	0	5	1	1	0	3	3	1
Hhon_g00114.t1	8	12	9	4	9	10	19	5	25	5	6	7	4	13	1
Hhon_g00121.t1	6	80	182	3	7	21	124	1	35	42	50	1	10	36	19
Hhon_g00123.t1	5	43	42	7	15	20	42	24	72	7	13	15	11	19	9
Hhon_g00125.t1	2	8	6	0	5	1	11	11	18	1	5	26	1	2	3
Hhon_g00127.t1	1	6	2	1	2	1	2	1	8	2	1	1	3	2	1
Hhon_orphan_40	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Hhon_g00129.t1	8	11	6	1	4	0	18	15	27	3	11	15	3	10	4
Hhon_g00130.t1	0	0	3	1	1	0	1	1	1	0	0	0	0	0	0
Hhon_g00131.t1	2	5	0	3	2	1	6	5	13	2	4	8	0	1	1
Hhon_g00133.t1	0	1	4	1	0	2	5	0	14	0	5	4	0	3	2
Hhon_g00135.t1	0	4	3	1	1	2	3	1	11	0	0	2	0	2	2
Hhon_g00137.t1	1	8	27	0	0	1	8	7	11	9	12	2	35	0	2
Hhon_g00139.t1	0	1	1	0	0	0	2	0	1	0	1	2	0	0	0
Hhon_g00140.t1	5	14	10	1	2	5	18	7	39	7	9	16	5	7	2
Hhon_g00143.t1	1	7	9	2	7	3	19	3	8	1	4	2	3	2	1
Hhon_orphan_41	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0
Hhon_g00146.t1	32	43	41	1	7	3	9	4	14	0	3	7	4	10	0
Hhon_orphan_42	41	41	25	4	6	2	20	3	19	0	2	3	0	6	1
Hhon_orphan_43	0	0	0	0	0	0	1	2	1	0	2	4	0	0	0
Hhon_g00147.t1	0	0	0	1	0	1	4	1	0	0	0	0	0	0	0
Hhon_g00148.t1	0	2	0	1	1	1	9	4	23	0	0	1	3	0	4
Hhon_g00150.t1	1	3	3	0	0	0	6	1	4	0	7	7	0	0	0
Hhon_g00151.t1	2	1	4	1	1	0	4	1	9	1	2	0	2	4	0
Hhon_orphan_44	1	1	1	0	1	3	1	1	7	1	1	1	0	1	0
Hhon_g00153.t1	14	43	24	6	6	3	17	9	41	4	11	9	9	14	3
Hhon_g00154.t1	1	16	5	2	3	5	8	4	30	2	1	1	0	2	2
Hhon_g00155.t1	3	14	8	1	10	5	11	1	33	1	5	8	2	8	3
Hhon_g00157.t1	3	3	9	0	6	2	14	3	4	4	3	2	2	2	1
Hhon_g00158.t1	2	7	5	3	3	5	4	4	6	2	6	3	2	1	0
Hhon_g00160.t1	12	36	42	8	10	16	40	14	64	7	21	14	2	9	7
Hhon_g00163.t1	14	29	5	2	5	5	45	4	112	8	20	13	2	2	1
Hhon_g00165.t1	1	4	4	0	3	1	3	26	8	0	0	1	2	0	2
Hhon_g00167.t1	0	0	1	0	0	0	1	3	1	0	0	0	0	0	0
Hhon_g00168.t1	3	16	14	2	0	1	9	9	27	5	9	12	3	1	0
Hhon_g00170.t1	10	20	10	4	7	8	22	3	36	2	6	14	6	9	2
Hhon_orphan_45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g00174.t1	1	2	1	0	0	0	1	0	0	0	0	2	0	0	0
Hhon_g00175.t1	1	13	2	1	2	1	7	1	12	2	4	6	2	3	3
Hhon_g00177.t1	0	3	12	0	2	0	16	0	1	0	0	0	0	3	0
Hhon_g00178.t1	1	25	61	1	3	4	51	4	7	1	9	4	82	2	0
Hhon_g00179.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_orphan_46	0	0	0	0	1	0	1	3	17	0	0	0	0	0	0
Hhon_orphan_47	0	3	6	0	0	0	12	14	2	0	0	4	0	0	0
Hhon_g00185.t1	4	4	3	0	1	4	8	3	15	1	3	1	2	5	1
Hhon_g00187.t1	13	37	12	6	5	5	22	6	47	4	10	22	8	12	6
Hhon_g00189.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Hhon_g00190.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_orphan_48	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0
Hhon_g00192.t1	9	4	1	0	0	0	0	0	14	0	1	0	0	0	0
Hhon_orphan_49	0	6	36	0	0	0	20	9	8	0	0	0	59	0	0
Hhon_g00196.t1	70	187	0	1	2	0	3	9	0	0	1	2	0	4	0
Hhon_g00197.t1	1	10	2	0	2	0	6	1	4	1	3	4	1	5	2
Hhon_g00200.t1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1
Hhon_g00202.t1	0	2	3	0	2	0	1	0	0	0	0	0	0	2	0
Hhon_g00204.t1	5	16	11	1	4	2	20	8	30	3	10	12	3	4	3
Hhon_g00208.t1	8	35	17	14	26	13	71	56	176	29	42	31	41	17	13
Hhon_g00211.t1	0	0	1	0	0	0	0	0	5	0	2	4	1	0	0
Hhon_g00214.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g00217.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00218.t1	0	1	0	0	1	0	12	2	18	0	4	1	1	0	0
Hhon_orphan_51	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Hhon_g00220.t1	0	8	7	2	5	6	11	4	17	3	4	6	12	7	2
Hhon_g00225.t1	0	7	3	1	1	3	5	4	9	1	3	6	0	5	1
Hhon_g00227.t1	0	1	0	0	0	1	2	0	6	0	1	1	1	1	0
Hhon_orphan_53	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00228.t1	1	5	1	0	9	0	2	2	118	0	2	1	0	0	0
Hhon_g00229.t1	413	309	843	0	14	21	15	22	55	7	240	4	4	3	0
Hhon_g00232.t1	1	8	2	0	1	1	4	1	6	2	4	3	2	1	2
Hhon_g00234.t1	0	1	0	1	1	0	6	0	4	2	2	1	1	2	0
Hhon_g00235.t1	2	19	22	3	4	12	10	4	30	1	6	1	7	16	3
Hhon_orphan_54	0	1	6	2	3	1	3	0	3	0	2	1	1	2	1
Hhon_g00236.t1	203	319	46	55	66	65	102	39	266	24	82	62	47	42	6
Hhon_g00240.t1	33	48	38	3	9	10	24	25	124	3	15	19	11	7	6
Hhon_g00242.t1	1	8	4	3	2	4	6	1	7	1	4	7	3	2	0
Hhon_orphan_55	2	6	2	1	0	5	1	1	6	1	1	1	3	0	0
Hhon_g00244.t1	4	7	2	0	0	0	3	5	6	0	1	2	0	0	1
Hhon_g00246.t1	1	3	0	0	1	0	1	1	6	0	0	0	1	1	0
Hhon_g00250.t1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Hhon_g00253.t1	0	5	3	0	1	1	6	1	6	0	2	5	1	0	1
Hhon_g00257.t1	4	16	5	2	2	3	9	4	9	3	7	12	5	4	1
Hhon_g00259.t1	0	6	3	1	6	0	2	3	12	1	3	8	0	2	1
Hhon_g00262.t1	0	1	0	0	0	0	0	0	4	0	1	9	0	0	0
Hhon_g00263.t1	1	7	1	1	0	1	3	0	4	0	0	2	0	1	1
Hhon_g00265.t1	2	3	1	0	1	1	4	1	10	0	2	0	1	1	0
Hhon_g00266.t1	1	1	1	0	1	0	4	1	10	0	4	0	2	0	0
Hhon_g00269.t1	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0
Hhon_g00271.t1	1	1	0	0	0	1	1	0	0	0	4	2	0	1	1
Hhon_orphan_57	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Hhon_g00272.t1	12	46	21	2	9	7	42	16	49	13	16	17	14	50	4
Hhon_g00277.t1	0	2	0	0	0	1	1	0	1	0	0	2	0	1	0
Hhon_orphan_58	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00282.t1	51	226	118	22	41	38	185	94	330	36	111	93	68	100	29
Hhon_orphan_59	0	0	1	17	46	35	130	86	26	0	0	0	2	20	0
Hhon_orphan_60	0	26	107	0	0	0	0	0	0	19	18	0	0	0	0
