peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00285.t1	1	55	140	0	1	2	0	0	3	318	291	0	5	0	0
Hhon_g00286.t1	0	0	7	0	0	0	1	0	0	29	24	0	3	0	0
Hhon_g00287.t1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Hhon_g00290.t1	0	6	0	0	0	1	0	1	2	0	1	0	0	1	1
Hhon_g00291.t1	0	1	1	0	0	0	1	1	2	0	3	3	0	0	0
Hhon_g00293.t1	1	1	0	0	0	0	1	0	2	0	2	1	1	0	1
Hhon_g00297.t1	0	0	0	0	0	0	2	1	3	1	1	2	2	0	0
Hhon_g00299.t1	0	0	2	1	1	1	3	2	5	1	4	3	1	3	0
Hhon_orphan_62	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
Hhon_g00301.t1	3	6	9	2	2	2	16	2	23	6	2	9	2	0	2
Hhon_g00302.t1	0	4	1	4	1	1	4	6	8	2	1	1	0	1	0
Hhon_g00304.t1	1	15	4	1	1	5	4	3	14	2	4	3	1	3	1
Hhon_orphan_63	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g00306.t1	0	1	1	0	0	1	0	1	4	2	1	0	3	1	0
Hhon_g00308.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g00309.t1	1	0	0	0	1	0	7	0	3	0	1	2	0	2	0
Hhon_g00311.t1	2	3	4	0	1	0	4	3	12	2	1	2	0	1	0
Hhon_g00313.t1	0	7	2	0	2	4	3	2	2	1	1	1	2	0	0
Hhon_orphan_65	0	6	0	0	0	0	0	0	0	2	3	1	0	0	0
Hhon_g00315.t1	4	3	7	0	1	1	3	1	6	7	8	2	1	0	0
Hhon_g00322.t1	6	39	10	2	5	6	24	7	40	6	14	15	10	13	10
Hhon_g00324.t1	0	0	0	6	10	0	0	0	1	0	0	0	0	0	0
Hhon_g00325.t1	102	223	61	6	38	24	159	165	624	21	93	51	59	50	30
Hhon_g00327.t1	1	3	3	0	3	4	5	0	11	2	3	1	1	1	0
Hhon_g00333.t1	0	11	3	0	1	1	5	0	7	1	4	4	1	1	0
Hhon_g00334.t1	1479	5153	3	0	4	0	101	16	4	0	4	12	0	1	0
Hhon_g00335.t1	375	232	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00336.t1	1	0	1	0	1	0	0	1	4	1	0	1	0	1	0
Hhon_g00337.t1	0	4	7	2	1	1	5	1	4	0	3	1	0	0	0
Hhon_g00338.t1	1	1	1	0	0	0	4	0	2	0	3	1	0	0	0
Hhon_g00340.t1	0	1	1	0	0	1	4	0	9	0	2	2	0	0	0
Hhon_g00341.t1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Hhon_g00344.t1	0	3	2	0	0	0	3	1	2	0	1	0	0	1	0
Hhon_g00347.t1	0	2	0	0	0	0	2	0	2	0	0	1	1	1	0
Hhon_g00349.t1	0	0	0	1	0	1	4	1	1	3	0	3	0	0	2
Hhon_g00350.t1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g00353.t1	2	5	2	0	1	0	6	2	6	0	1	5	3	0	1
Hhon_g00358.t1	0	9	1	0	1	0	7	12	35	1	1	3	3	4	1
Hhon_g00362.t1	3	4	13	3	4	4	10	7	19	3	8	11	2	6	3
Hhon_g00369.t1	1	0	2	0	0	0	11	5	2	0	0	1	0	0	1
Hhon_g00370.t1	8	21	21	5	10	2	36	15	34	5	9	23	7	7	6
Hhon_g00372.t1	4	4	1	0	2	1	10	4	10	1	4	5	0	0	1
Hhon_orphan_67	0	1	1	0	0	0	0	0	18	0	0	0	0	1	0
Hhon_g00374.t1	1	0	1	0	0	0	0	1	27	0	4	0	4	0	1
Hhon_g00375.t1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0
Hhon_g00376.t1	0	1	0	0	0	0	0	0	1	0	0	0	2	8	0
Hhon_g00377.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g00378.t1	6	20	10	4	3	6	16	10	25	6	9	14	2	2	3
Hhon_orphan_68	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
Hhon_g00381.t1	0	2	3	1	1	0	4	1	4	0	0	9	1	0	0
Hhon_g00384.t1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
Hhon_g00385.t1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Hhon_g00386.t1	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0
Hhon_g00387.t1	0	0	0	0	1	0	1	1	2	0	2	0	0	0	0
Hhon_g00388.t1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
Hhon_g00392.t1	1	5	4	1	3	1	1	2	8	0	6	4	2	1	1
Hhon_g00393.t1	0	0	1	0	0	1	0	0	3	0	2	3	1	1	0
Hhon_g00397.t1	2	5	0	1	0	0	4	2	2	0	1	3	0	2	0
Hhon_g00398.t1	0	0	2	0	0	0	1	0	2	0	0	0	0	1	0
Hhon_g00401.t1	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0
Hhon_g00403.t1	27	74	29	16	46	20	78	42	134	9	49	19	27	34	4
Hhon_g00405.t1	0	0	0	0	1	0	0	0	51	1	3	0	0	0	1
Hhon_g00406.t1	1	2	1	0	0	0	1	0	1	1	2	2	0	1	0
Hhon_g00409.t1	0	0	1	0	0	0	1	1	1	0	2	4	2	4	1
Hhon_g00410.t1	7	6	8	1	5	1	11	15	18	8	12	0	9	0	1
Hhon_g00411.t1	1	6	0	0	2	2	4	2	1	1	3	4	2	1	2
Hhon_g00413.t1	0	1	0	0	0	0	1	0	1	0	4	1	0	0	0
Hhon_g00414.t1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0
Hhon_g00415.t1	0	0	1	58	35	7	3	0	0	0	0	0	0	0	0
Hhon_g00416.t1	3	5	15	0	3	3	8	8	19	0	12	4	2	3	1
Hhon_orphan_71	0	1	5	0	0	0	3	1	4	2	5	0	1	0	0
Hhon_g00418.t1	5	6	4	0	4	1	8	2	4	2	3	3	0	0	1
Hhon_g00421.t1	6	13	6	1	8	1	12	1	23	8	13	11	2	6	1
Hhon_g00424.t1	4	19	9	2	2	5	11	12	14	4	9	4	2	3	0
Hhon_g00426.t1	5	254	738	190	359	450	975	215	724	96	354	55	283	181	95
Hhon_g00427.t1	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0
Hhon_g00428.t1	38	104	0	1	0	0	8	3	21	0	1	7	1	2	0
Hhon_g00429.t1	1	2	0	0	0	0	1	5	14	0	0	0	0	0	0
Hhon_g00430.t1	1	6	2	0	1	1	10	2	7	0	0	1	0	2	1
Hhon_g00448.t1	10	31	10	5	5	8	27	18	45	7	16	12	4	16	4
Hhon_orphan_73	2	10	13	0	3	3	35	8	45	1	7	10	4	4	3
Hhon_orphan_74	0	4	13	3	5	0	1	2	10	1	1	6	0	0	0
Hhon_g00453.t1	0	1	1	0	0	0	1	1	5	0	1	2	0	0	1
Hhon_g00456.t1	7	16	16	2	5	2	16	11	35	8	3	7	6	1	5
Hhon_g00458.t1	1	5	6	0	1	4	28	5	262	0	4	1	3	1	0
Hhon_g00460.t1	0	2	2	0	1	0	3	1	4	0	3	2	1	0	0
Hhon_g00462.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g00464.t1	2	5	10	1	6	2	13	5	22	2	8	11	3	3	1
Hhon_g00465.t1	12	96	21	5	14	3	38	19	46	1	36	37	18	21	15
Hhon_g00466.t1	0	8	2	0	4	2	6	1	4	2	1	8	1	3	0
Hhon_g00468.t1	35	69	1	0	0	0	2	0	7	1	1	1	0	0	0
Hhon_g00470.t1	0	1	0	0	1	0	2	1	0	0	0	0	0	1	0
Hhon_g00472.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Hhon_g00474.t1	0	1	1	0	0	0	2	0	1	0	0	0	0	0	1
Hhon_g00484.t1	0	1	4	0	0	2	2	2	12	4	4	3	2	3	1
Hhon_g00486.t1	0	2	1	0	1	0	1	2	0	0	1	3	1	0	0
Hhon_g00488.t1	2	4	3	1	1	0	2	1	13	0	6	4	3	2	0
Hhon_orphan_78	0	10	2	0	0	0	45	1	18	0	0	5	0	4	7
Hhon_orphan_79	3	5	0	0	0	0	1	0	13	0	0	0	0	0	0
Hhon_orphan_80	0	6	3	0	0	0	0	0	5	0	1	0	0	3	0
Hhon_orphan_81	0	4	2	0	1	0	2	0	9	0	1	0	0	0	0
Hhon_g00490.t1	7	12	9	1	5	1	4	1	56	2	6	0	0	2	2
Hhon_g00492.t1	0	9	3	1	1	3	3	2	8	0	1	4	1	7	1
Hhon_g00497.t1	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0
Hhon_g00499.t1	0	2	0	0	0	0	1	0	0	2	3	1	1	0	0
Hhon_g00500.t1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Hhon_g00501.t1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Hhon_g00502.t1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Hhon_g00292.t1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1
Hhon_g00294.t1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Hhon_g00295.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_orphan_82	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00298.t1	1	16	14	3	6	7	24	12	35	6	10	10	7	7	0
Hhon_g00300.t1	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0
Hhon_g00303.t1	13	22	5	1	4	5	6	6	28	3	7	6	2	13	2
Hhon_g00305.t1	3	34	9	1	4	8	19	13	19	35	65	5	8	4	4
Hhon_g00307.t1	1	2	0	0	0	0	0	4	1	0	1	1	0	1	0
Hhon_g00310.t1	1	1	6	0	0	1	1	3	2	2	2	0	0	0	1
Hhon_g00312.t1	1	7	8	4	4	9	18	6	26	1	11	5	10	2	2
Hhon_g00314.t1	19	60	25	5	7	6	25	22	39	6	9	22	5	3	6
Hhon_g00316.t1	55	202	72	15	32	25	95	55	240	17	36	35	39	28	9
Hhon_g00317.t1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0
Hhon_g00318.t1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Hhon_g00319.t1	1	6	7	2	0	3	12	1	10	0	4	4	2	2	2
Hhon_g00320.t1	0	7	6	0	1	1	2	1	16	2	2	1	5	1	1
Hhon_g00321.t1	1	8	1	0	2	0	6	2	9	0	2	8	1	2	0
Hhon_g00323.t1	0	0	2	19	31	1	8	11	8	0	0	0	0	0	0
Hhon_orphan_86	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Hhon_g00326.t1	0	8	0	0	0	0	2	1	5	0	3	0	1	0	1
Hhon_g00329.t1	1	2	0	0	0	0	0	2	0	2	0	0	0	0	0
Hhon_g00330.t1	0	0	0	0	0	0	3	0	3	0	1	0	0	1	0
Hhon_g00332.t1	34	154	87	7	38	28	106	89	245	25	58	66	38	41	23
Hhon_orphan_87	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g00339.t1	3	8	3	0	0	1	1	3	5	1	2	2	0	2	0
Hhon_g00342.t1	0	0	0	0	0	0	1	1	4	0	1	0	0	0	1
Hhon_g00345.t1	2	10	2	0	5	1	4	4	5	1	4	4	2	1	0
Hhon_g00346.t1	27	122	64	7	9	18	77	32	177	6	41	28	36	51	14
Hhon_g00348.t1	2	1	1	0	0	1	3	0	5	0	0	2	1	1	0
Hhon_g00351.t1	98	278	115	20	39	43	189	183	678	41	129	90	88	89	35
Hhon_g00352.t1	10	24	5	2	6	5	16	12	32	5	14	14	7	10	3
Hhon_g00354.t1	0	1	0	0	1	0	1	0	3	0	1	0	0	0	0
Hhon_g00357.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g00359.t1	7	16	4	1	2	3	8	7	22	0	11	19	5	7	2
Hhon_g00360.t1	9	51	8	4	13	5	35	13	57	4	29	11	11	11	8
Hhon_g00363.t1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0
Hhon_g00364.t1	0	0	0	0	0	0	5	1	0	0	1	0	1	0	0
Hhon_g00366.t1	0	0	0	0	0	0	4	2	2	0	0	1	0	0	0
Hhon_g00367.t1	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0
Hhon_g00368.t1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_orphan_89	2	4	2	1	1	1	4	1	1	0	1	0	1	1	1
Hhon_g00371.t1	2	3	2	1	0	0	1	2	3	0	1	0	3	0	1
Hhon_g00373.t1	4	8	1	1	1	1	5	3	21	0	6	0	5	1	2
Hhon_g00379.t1	0	1	0	0	1	2	4	0	3	1	2	2	0	0	0
Hhon_g00380.t1	0	2	1	0	1	1	2	3	10	0	2	1	1	1	0
Hhon_orphan_90	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g00383.t1	0	0	0	0	0	0	0	0	2	1	0	2	0	1	0
Hhon_g00389.t1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00390.t1	2	10	5	2	2	4	8	2	11	1	7	7	5	7	0
Hhon_g00391.t1	3	13	22	8	12	8	38	12	35	2	12	10	9	4	2
Hhon_g00396.t1	0	9	28	2	4	2	7	2	5	3	2	2	1	0	0
Hhon_g00399.t1	3	7	6	2	2	1	9	1	15	1	1	3	5	1	1
Hhon_g00400.t1	4	6	0	0	1	0	3	0	4	0	0	0	0	2	0
Hhon_g00402.t1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0
Hhon_g00404.t1	24	44	17	14	7	9	32	14	89	2	13	15	18	12	4
Hhon_g00407.t1	1	3	5	1	1	0	5	8	4	4	3	6	0	7	1
Hhon_g00408.t1	1	2	0	0	0	0	2	2	2	0	1	0	0	3	0
Hhon_g00412.t1	0	0	0	0	0	0	1	1	2	0	0	2	0	0	0
Hhon_g00417.t1	0	0	0	0	1	0	1	0	5	0	3	0	1	1	0
Hhon_orphan_94	0	5	20	0	0	0	7	5	6	2	1	0	2	0	0
Hhon_orphan_95	0	1	0	1	0	0	2	0	0	6	6	0	0	0	0
Hhon_g00419.t1	3	13	14	4	14	12	28	8	18	7	9	5	3	1	6
Hhon_g00420.t1	0	3	13	1	1	2	16	9	21	1	3	6	5	7	1
Hhon_g00422.t1	126	482	402	138	155	246	648	229	999	113	264	90	150	141	32
Hhon_g00423.t1	4	9	7	1	0	4	11	1	20	3	3	6	2	1	2
Hhon_g00425.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g00431.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g00436.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g00441.t1	0	1	1	0	0	1	2	1	0	0	0	0	0	2	0
Hhon_g00443.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g00445.t1	0	2	0	0	0	0	0	1	1	0	1	3	0	1	0
Hhon_g00446.t1	0	0	0	0	0	0	1	0	3	0	0	2	0	0	1
Hhon_g00447.t1	0	0	1	0	0	2	1	1	5	1	1	1	2	0	1
Hhon_g00449.t1	0	0	0	1	1	1	0	0	0	0	0	0	0	11	0
Hhon_g00450.t1	0	1	1	2	1	1	4	1	1	0	1	0	0	0	0
Hhon_g00451.t1	37	106	104	30	35	43	151	83	239	17	41	21	40	17	7
Hhon_g00452.t1	5	34	124	12	14	40	50	34	152	14	8	6	15	1	0
Hhon_orphan_96	4	8	20	0	3	3	6	6	30	1	7	0	2	0	0
Hhon_g00454.t1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g00455.t1	1	3	5	0	1	0	7	3	26	2	5	0	4	6	1
Hhon_g00457.t1	0	10	7	4	12	9	32	6	41	6	6	5	7	11	6
Hhon_g00459.t1	4	7	5	3	2	0	8	1	20	1	4	5	1	13	3
Hhon_g00461.t1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
Hhon_g00463.t1	0	2	0	2	1	0	6	0	4	1	3	1	1	0	0
Hhon_orphan_97	0	0	1	0	2	0	1	0	1	1	0	0	0	0	0
Hhon_orphan_98	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00467.t1	6	23	0	1	3	3	2	3	4	0	5	5	1	1	2
Hhon_g00469.t1	0	6	8	0	2	4	10	1	14	2	4	2	1	3	0
Hhon_g00471.t1	0	2	1	2	0	1	4	0	4	1	4	5	0	0	0
Hhon_g00473.t1	3	12	0	0	1	3	11	7	13	0	2	9	2	2	0
Hhon_orphan_99	0	0	1	0	0	0	0	1	2	0	0	2	1	0	0
Hhon_g00475.t1	0	0	0	0	0	0	1	3	2	0	2	0	0	0	2
Hhon_g00476.t1	0	0	0	0	0	0	49	3	20	0	1	0	0	1	1
Hhon_g00477.t1	1	0	0	0	0	1	2	2	15	0	10	10	1	0	0
Hhon_g00479.t1	1	0	0	0	0	0	1	0	4	0	2	0	0	0	0
Hhon_g00480.t1	0	0	2	0	0	0	0	0	7	0	2	3	2	2	0
Hhon_g00481.t1	0	0	0	0	0	0	7	0	0	0	0	29	0	1	3
Hhon_g00482.t1	0	0	0	0	0	0	4	1	4	0	0	0	0	0	0
Hhon_g00483.t1	0	1	0	0	1	0	6	1	1	0	0	2	0	0	1
Hhon_g00485.t1	0	5	1	2	1	4	1	0	4	1	2	2	1	3	0
Hhon_g00487.t1	7	21	17	0	5	4	21	4	40	8	9	13	2	15	5
Hhon_g00489.t1	0	1	0	0	1	0	5	0	3	0	0	0	0	0	0
Hhon_g00491.t1	0	3	5	0	0	0	1	1	17	0	1	6	0	15	5
Hhon_orphan_101	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
Hhon_g00493.t1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
Hhon_g00495.t1	1	3	4	0	0	1	4	2	5	2	5	2	1	4	3
Hhon_orphan_102	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Hhon_g00511.t1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
Hhon_g00514.t1	0	0	0	0	0	1	1	0	1	0	1	2	0	0	0
Hhon_g00519.t1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g00521.t1	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0
Hhon_g00522.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hhon_g00524.t1	0	0	0	0	0	0	4	0	0	0	0	0	0	3	1
Hhon_g00525.t1	0	0	0	0	0	1	11	1	0	0	0	0	0	0	0
Hhon_g00526.t1	5	0	1	0	0	0	12	0	8	0	0	0	0	1	0
Hhon_g00529.t1	0	0	0	0	0	0	21	0	0	0	1	0	17	0	0
Hhon_g00530.t1	0	0	7	0	1	6	0	0	6	0	0	0	0	0	0
Hhon_g00531.t1	0	2	9	9	12	35	46	0	40	1	6	2	5	9	0
Hhon_orphan_104	0	5	0	0	0	1	2	2	5	0	1	3	0	1	2
Hhon_g00533.t1	0	2	2	1	0	0	1	0	5	0	2	1	0	0	0
Hhon_orphan_105	0	2	0	0	0	1	0	0	6	0	0	1	0	0	0
Hhon_g00538.t1	5	22	19	1	2	3	16	7	28	2	5	9	2	8	2
Hhon_g00540.t1	21	53	32	11	8	16	35	11	59	20	34	18	20	23	4
Hhon_g00542.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Hhon_orphan_106	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
Hhon_g00545.t1	6	11	8	1	9	15	15	2	62	0	2	10	2	49	1
Hhon_g00546.t1	0	2	1	1	0	1	0	1	4	0	1	0	1	0	2
Hhon_g00548.t1	1	5	3	1	0	1	6	2	5	0	1	7	0	2	0
Hhon_g00550.t1	1	10	5	1	3	1	9	7	10	0	6	5	4	1	0
Hhon_g00553.t1	0	3	3	0	1	3	6	0	7	1	0	3	1	1	0
Hhon_g00555.t1	1	4	2	1	1	0	7	0	17	0	3	3	2	1	3
Hhon_g00557.t1	2	6	2	0	1	1	2	2	10	1	4	1	1	2	1
Hhon_g00558.t1	3	6	0	0	0	0	1	1	3	1	1	0	1	0	0
Hhon_orphan_107	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00560.t1	35	101	75	30	36	44	95	54	164	30	54	53	39	51	21
Hhon_g00562.t1	0	3	1	0	1	1	0	1	5	0	1	0	2	2	0
Hhon_g00563.t1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g00564.t1	3	19	6	0	7	1	12	6	19	5	4	5	6	4	0
Hhon_orphan_109	0	0	0	0	0	0	1	2	11	0	0	0	0	0	0
Hhon_g00567.t1	2	8	2	0	0	0	1	0	5	1	0	1	1	1	0
Hhon_g00568.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00570.t1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
Hhon_g00572.t1	0	2	0	0	1	0	2	1	0	1	1	1	0	0	0
Hhon_g00573.t1	3	0	0	0	3	0	4	1	4	0	9	6	4	0	0
Hhon_g00576.t1	1	3	3	1	0	2	4	3	4	1	1	2	1	1	0
Hhon_g00577.t1	7	9	0	0	0	1	6	1	7	0	1	2	1	0	0
Hhon_g00579.t1	0	1	1	0	0	0	12	16	54	0	5	0	0	5	10
Hhon_g00580.t1	0	0	0	0	0	0	5	4	16	0	0	1	0	0	0
Hhon_g00582.t1	3	31	7	1	3	3	14	4	19	0	4	12	4	2	0
Hhon_g00584.t1	0	7	0	1	1	0	3	0	2	0	0	0	1	0	0
Hhon_orphan_110	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0
Hhon_g00586.t1	2	3	2	1	0	2	1	1	8	1	2	1	2	3	0
Hhon_g00590.t1	5	18	11	2	5	2	15	8	33	5	12	20	5	12	5
Hhon_g00593.t1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Hhon_g00595.t1	1	0	2	0	0	0	0	0	0	0	0	1	0	2	0
Hhon_g00598.t1	0	4	7	2	4	3	4	2	15	1	1	2	2	1	3
Hhon_g00600.t1	6	15	9	1	2	1	14	6	15	6	7	5	5	3	1
Hhon_g00602.t1	7	28	18	4	11	4	32	8	47	6	16	23	5	16	1
Hhon_g00604.t1	1	11	10	1	10	11	21	4	37	5	16	3	10	5	1
Hhon_g00605.t1	1	5	13	3	11	2	15	3	28	3	8	7	4	4	4
Hhon_g00608.t1	4	5	7	0	1	2	3	1	5	0	0	1	3	2	0
Hhon_g00611.t1	0	3	7	0	2	0	3	0	5	0	2	1	0	2	0
Hhon_g00615.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_orphan_113	0	0	0	1	4	1	0	5	11	0	0	0	0	0	0
Hhon_orphan_114	0	1	4	0	0	1	5	4	4	1	0	3	0	1	1
Hhon_g00617.t1	0	6	14	5	6	5	21	6	21	0	2	5	4	3	1
Hhon_g00618.t1	1	3	1	1	1	0	0	0	2	1	0	1	0	2	0
Hhon_g00620.t1	1	3	1	1	1	0	0	3	2	2	3	3	1	1	0
Hhon_g00622.t1	0	6	1	0	2	2	1	1	4	1	3	0	2	3	0
Hhon_g00623.t1	7	6	3	1	0	0	3	0	8	1	3	4	0	1	1
Hhon_g00626.t1	0	1	3	0	1	0	1	0	4	3	3	5	1	2	1
Hhon_g00628.t1	0	2	0	1	1	0	1	0	1	0	0	2	0	0	0
Hhon_g00630.t1	0	1	1	0	1	1	0	1	2	0	3	3	2	0	0
Hhon_g00632.t1	6	8	12	3	3	6	18	6	29	2	16	9	5	3	0
Hhon_g00633.t1	4	14	10	4	3	1	13	2	14	1	10	4	5	12	4
Hhon_g00637.t1	2	9	8	4	1	3	10	15	38	2	4	12	14	12	0
Hhon_g00640.t1	0	0	1	0	0	0	19	0	1	0	0	0	0	0	0
Hhon_g00642.t1	0	8	7	1	0	0	5	4	15	0	5	1	2	2	0
Hhon_g00645.t1	0	1	0	0	0	0	0	1	2	0	0	1	2	0	0
Hhon_g00646.t1	3	5	2	2	1	0	0	1	0	1	0	2	1	0	0
Hhon_g00647.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g00648.t1	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0
Hhon_g00649.t1	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g00651.t1	195	393	174	45	90	80	283	256	942	49	160	159	129	108	56
Hhon_g00653.t1	1	6	4	0	1	2	5	2	14	1	3	4	4	5	0
Hhon_g00654.t1	0	3	0	0	0	0	0	0	3	0	0	2	0	0	0
Hhon_g00655.t1	0	0	1	0	0	1	2	0	3	0	0	0	0	1	1
Hhon_g00657.t1	1	9	3	1	0	2	8	1	16	2	9	3	2	1	1
Hhon_g00660.t1	0	1	0	0	0	0	1	0	3	0	3	2	0	1	2
Hhon_g00661.t1	0	0	1	0	0	0	4	0	4	0	6	0	2	2	0
Hhon_g00664.t1	19	21	1	2	1	2	6	5	20	1	8	5	4	3	0
Hhon_g00666.t1	0	0	1	0	0	0	2	2	4	2	2	0	0	0	0
Hhon_g00667.t1	5	15	8	1	4	4	18	7	25	6	9	4	12	5	6
Hhon_g00669.t1	20	56	14	4	3	4	22	3	32	2	12	12	8	9	7
Hhon_g00672.t1	0	4	0	0	1	0	2	0	4	0	2	1	1	2	0
Hhon_g00673.t1	59	243	60	8	24	29	135	49	266	19	168	90	82	41	24
Hhon_g00674.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g00675.t1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Hhon_g00680.t1	4	11	7	2	3	2	7	5	23	0	2	6	2	9	4
Hhon_orphan_118	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0
Hhon_g00682.t1	0	0	0	0	0	0	0	0	25	0	0	5	0	7	0
Hhon_g00683.t1	0	6	30	27	4	3	0	0	0	0	0	19	1	0	0
Hhon_g00684.t1	0	0	17	72	79	3	0	0	0	0	0	4	0	0	0
Hhon_orphan_120	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00687.t1	1	2	0	0	0	0	0	0	0	0	1	2	0	0	0
Hhon_g00688.t1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	2
Hhon_g00689.t1	0	10	2	2	1	1	5	1	11	0	4	10	2	0	0
Hhon_g00691.t1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0
Hhon_g00693.t1	0	1	0	1	0	0	3	0	4	0	3	2	0	0	0
Hhon_g00695.t1	1	3	5	1	0	0	2	2	5	1	0	0	1	1	1
Hhon_g00696.t1	0	2	1	0	0	0	2	0	4	3	0	0	0	2	0
Hhon_g00512.t1	2	1	0	0	0	0	0	0	1	0	0	1	1	0	0
Hhon_g00513.t1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0
Hhon_g00518.t1	0	4	6	0	0	0	13	18	22	0	1	0	2	4	2
Hhon_g00520.t1	3	16	4	0	0	1	0	2	12	1	1	2	1	0	0
Hhon_g00523.t1	0	2	1	0	0	0	1	1	1	0	0	0	1	3	0
Hhon_g00527.t1	1	2	0	0	0	0	3	0	2	0	0	3	0	1	0
Hhon_g00528.t1	0	0	2	0	0	0	3	1	3	0	1	5	3	0	0
Hhon_orphan_121	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0
Hhon_g00532.t1	2	6	10	0	0	2	4	4	6	4	7	2	2	5	1
Hhon_orphan_122	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
