lipophil_1	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	trans_lipophil_1_lipophil_2	lipophil_2	trans_lipophil_2_epithelia	trans_lipophil_2_gland	unknown_1	fibre_1	fibre_2	trans_fibre_gland	gland_1	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_epsilon	peptidergic_zeta	peptidergic_zeta_like	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu
HoiH23_PlH23_000107	439	11	65	8	30	144	166	11	89	166	61	14	1070	33	13	382	762	337	857	31	48	51	17	25	28	39	123	48	38	75	43	47	44	16	11
HoiH23_PlH23_000109	1659	55	238	45	76	472	442	55	329	711	247	95	4160	153	54	1493	2740	1255	2774	90	173	148	70	81	112	127	394	194	135	191	117	146	159	110	25
HoiH23_PlH23_000111	199	8	35	2	6	57	59	7	42	85	32	8	510	14	11	184	325	136	344	10	9	18	13	14	16	12	59	20	15	20	19	17	11	11	4
HoiH23_PlH23_000112	223	7	23	3	9	71	83	8	36	79	31	12	620	20	9	237	427	185	502	17	18	24	17	13	16	17	78	31	10	37	26	23	23	13	5
HoiH23_PlH23_000114	100	2	10	3	1	30	42	3	17	37	11	4	226	7	2	66	162	59	132	5	9	8	3	5	5	8	23	10	7	18	8	9	11	4	0
HoiH23_orphan_12	2	0	0	0	0	0	1	1	1	0	0	0	4	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_13	18	0	2	0	0	4	6	0	3	4	2	0	32	2	1	15	24	5	19	1	1	2	1	0	1	0	3	0	0	2	1	3	4	1	0
HoiH23_PlH23_000120	865	18	117	31	23	251	276	25	163	325	121	39	2216	54	38	846	1512	675	1694	60	86	85	43	46	39	61	226	91	94	113	71	89	94	52	24
HoiH23_PlH23_000121	1345	20	123	28	43	442	501	25	360	355	260	51	3305	92	72	1388	2415	1170	2875	83	145	140	77	83	107	107	385	145	142	214	133	145	115	53	40
HoiH23_PlH23_000123	716	27	86	15	26	221	216	20	147	242	114	29	1768	45	31	651	1172	571	1270	42	71	71	28	33	40	45	180	81	46	97	59	87	61	43	16
