metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
96	89	143382	1611.03370786517	1027	1455	1890	0.248419509761106	0.0683701097377542	0.134145103119445	0.25871705676963	0.602900497867885
97	60	92213	1536.88333333333	1091.25	1482.5	1842.5	0.301275252927103	0.105146916818993	0.18364597526694	0.319123196433149	0.671462959821426
98	60	58657	977.616666666667	750.25	943.5	1136	0.361433444832195	0.14941193343764	0.219535031159574	0.392083027244188	0.749944942026152
99	48	35487	739.3125	577.25	698	840.25	0.390832741015527	0.158258818331574	0.259111394744605	0.43554787679748	0.823261022039363
100	30	21988	732.933333333333	558.75	692.5	829	0.516183230023605	0.214741541300039	0.368681168800606	0.560811073177676	1.037129981075
101	24	12887	536.958333333333	394.5	535	634	0.681739991413186	0.360677280731378	0.541942475302175	0.754944348245535	1.24430298314396
102	80	112216	1402.7	1115.75	1334	1557	0.296154152345382	0.086834549674389	0.141711225572214	0.257593718031942	0.652020295248437
103	38	46239	1216.81578947368	907.25	1059	1420.75	0.395477564027867	0.127875344468011	0.203239821629241	0.384432818174839	0.863054377533781
104	75	101194	1349.25333333333	1076	1270	1489.5	0.324175866507106	0.0960113038199806	0.147534529495615	0.273057272083767	0.684383268767735
105	54	96583	1788.57407407407	1251.25	1600.5	2204	0.319366303964326	0.100613835726337	0.167464410717717	0.300778867492897	0.746702982830583
106	102	190234	1865.03921568627	1493	1758.5	2164.75	0.252039415593641	0.051804518789301	0.12477220939232	0.245268343041842	0.642170212641976
107	75	96173	1282.30666666667	1072	1193	1418	0.292445214225727	0.0995876416143025	0.146067252793384	0.280620872632318	0.694686954221899
108	80	112715	1408.9375	1015.5	1300	1558	0.268737100184925	0.086461417070427	0.135062617427201	0.247204790059656	0.612075188644862
109	76	80012	1052.78947368421	837	1069	1247.5	0.357460912164239	0.105523622714829	0.162489941615163	0.304947989791001	0.715083367539324
110	90	109240	1213.77777777778	1042	1164.5	1327.25	0.350172845736495	0.0890869022115788	0.139694267412256	0.261525666872169	0.667477532451262
111	93	81505	876.397849462366	724	896	1061	0.35521815464422	0.0961340967078694	0.146936943043483	0.289203737754247	0.734337627446622
112	103	93328	906.097087378641	709.5	849	1079.5	0.392642572933415	0.0959456337544309	0.142032312128536	0.292869345662001	0.742905946943963
113	57	61155	1072.89473684211	920	1024	1200	0.385963921571255	0.105374066493933	0.163258099149961	0.326320587139925	0.771140336483337
114	58	53072	915.034482758621	749.25	858.5	1054.75	0.435301153863183	0.109724426743828	0.178094536481582	0.33840366619138	0.794013749577669
115	70	56460	806.571428571429	701.5	817	905.5	0.467322219342562	0.103182408233883	0.16784303526222	0.326753711637057	0.803873604168136
116	79	109189	1382.13924050633	1075	1351	1632.5	0.3620466168292	0.0891736718972975	0.153925630720158	0.283721479921579	0.798597306349034
117	59	42761	724.762711864407	494	719	880.5	0.543745483170563	0.151971751765772	0.220422066324572	0.448251367008281	1.11226646654412
118	95	85335	898.263157894737	502	690	1066.5	0.480226836984833	0.113065209521854	0.163015042877604	0.376145074843894	1.28594943370548
119	67	62153	927.656716417911	653.5	857	1065	0.392638810377118	0.113681712397788	0.17664104160465	0.357442732651733	0.86838443976409
120	64	69340	1083.4375	705.5	951.5	1318.25	0.481978015724818	0.0994415168921189	0.166341951473061	0.362647903752162	1.06392545883568
121	45	134395	2986.55555555556	2134	2775	3601	0.276700098513716	0.0730999145483145	0.137008588857789	0.253471153781441	0.70307581607033
122	61	108136	1772.72131147541	1164	1567	2200	0.354962750412582	0.0901287091158623	0.143229743844981	0.284049576181627	0.746120412766601
123	66	62602	948.515151515152	688.25	852.5	1047.25	0.563727307306994	0.11501207022527	0.193193329543587	0.430183552743984	1.36370180041212
124	96	84201	877.09375	590.5	706	1020.5	0.591431054714019	0.114524873891174	0.202819933151403	0.476781108252415	1.3493470679932
125	90	81362	904.022222222222	473.75	722.5	1125	0.703316734874757	0.118388823385675	0.164014943479563	0.482936072825546	1.93633026573947
126	84	51160	609.047619047619	432.75	561.5	774.5	0.728191665436025	0.119361510898279	0.184022137926616	0.45281992255506	1.9360786475267
127	58	29812	514	355	494	652	0.627852451104406	0.202374033034335	0.303226609447366	0.556418636706784	1.38240664074612
128	91	58485	642.692307692308	442	583	780	0.639539029572568	0.113887480229819	0.171236847130731	0.412737555080959	1.28303111125083
129	72	48384	672	556.75	669	760	0.574986601377822	0.121848643360473	0.19728565985454	0.394510476463662	0.936283385644266
130	30	22101	736.7	576	670	832.75	0.61732801414262	0.202890857448926	0.348045480471411	0.559165069046198	1.06311478967235
131	97	81290	838.041237113402	650	804	927	0.534292186322103	0.0890121811464445	0.134080451745279	0.302219364013492	0.802431784972841
132	71	41920	590.422535211268	395	544	723	0.459500474636241	0.136441137886981	0.221765439415647	0.392314039972311	0.779253240353805
133	27	20782	769.703703703704	582.5	690	887	0.647731235433842	0.226558197607295	0.419917001342728	0.651456548262068	1.23789166412871
134	105	63882	608.4	367	596	811	0.491974681399621	0.118203136054232	0.180035638775225	0.40128172329111	1.06795209871626
135	98	54800	559.183673469388	440.25	531	655.75	0.552228658838913	0.126594999901223	0.185971650051114	0.404401045272831	1.04422812546782
136	76	44610	586.973684210526	467.25	551	663.5	0.615807242375712	0.108401192720813	0.209253769133844	0.321489714634709	0.780911960485281
137	82	30279	369.256097560976	275	353.5	434.5	0.665406176572912	0.143191256184928	0.282980110167262	0.430089120663945	0.956847179101366
138	67	30739	458.791044776119	370	450	541	0.755942488503744	0.143161127931668	0.294741115535254	0.418998206005652	0.951433919569144
139	124	52432	422.838709677419	279.75	399	517.75	0.542497449492287	0.114926912971405	0.17959951178224	0.34014294235278	0.890449313750436
140	65	54061	831.707692307692	633	763	891	0.499305286990478	0.113199216667441	0.174920024925718	0.344865582733728	0.833712519082208
141	35	19779	565.114285714286	421.5	568	688.5	0.690065039633216	0.225235924112324	0.376731794124971	0.55252342591039	1.00538145541631
142	35	56190	1605.42857142857	1105	1326	1898	0.373615990631448	0.121423580674396	0.193038244512447	0.36575629265587	0.808452080262713
143	85	120259	1414.81176470588	1120	1360	1600	0.293331054780093	0.0811671378926116	0.158622556651042	0.290562664586655	0.623420944864302
144	33	38823	1176.45454545455	1012	1119	1412	0.435917342197699	0.155331204241886	0.239310797822308	0.437436235727181	0.823354059901618
145	86	117367	1364.73255813953	1148.75	1347	1544	0.302229096105766	0.083106785102586	0.162304577096523	0.291492474731281	0.620940371300285
146	101	86997	861.356435643564	731	854	1013	0.346503511185963	0.110962998620621	0.198150699293081	0.334876675806209	0.748098994274495
147	60	55940	932.333333333333	767.75	899	1070.5	0.357908182392627	0.12203454481785	0.186168123143638	0.354303000426055	0.807284292080315
148	64	45565	711.953125	564.25	675	821.75	0.394520179073958	0.126574319665396	0.205329298752448	0.38688208242143	0.800520654933241
149	54	44508	824.222222222222	672.25	798.5	904.25	0.403499384759948	0.132332581443345	0.210063652592487	0.387186895181452	0.756193023717486
150	105	52784	502.704761904762	370	510	625	0.508365421351906	0.133438182202475	0.188837862334469	0.379254517241271	0.8644447117814
151	64	32454	507.09375	417.5	490	603.5	0.536426418959195	0.175069430189212	0.280646498809438	0.472745352176792	0.953307694119587
152	59	25785	437.033898305085	345	421	510.5	0.583479225138073	0.17141286529078	0.302960547095981	0.442914110021037	0.865412691394439
153	53	23564	444.603773584906	345	438	518	0.653929026277248	0.178575964141618	0.316644544022635	0.460751384690293	0.926944116965601
154	75	43694	582.586666666667	465	565	647.5	0.568510428380791	0.118739050661551	0.213343569709873	0.371554570475384	0.819272944927797
155	93	90105	968.870967741935	786	955	1128	0.360940985514944	0.107304876669861	0.155168836538734	0.290689920244734	0.645157606652253
156	52	32345	622.019230769231	451.5	565.5	731.25	0.479457977482687	0.189659313797939	0.281826098047079	0.520407539838227	1.04074266533103
157	60	27715	461.916666666667	345.25	482	551.75	0.489381822036373	0.196671068934454	0.323714095590579	0.521675810758623	0.97638475067954
