lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_orphan_23	10	0	2	2	6	6	12	2	31	0	1	0	10	35	5	3	10	3	3	0	0	0	0	1	0	0	2	0	0	5	0	2	0	0	3	1	0	0
Hhon_orphan_24	16	1	1	0	2	7	29	6	42	0	1	1	15	50	5	11	23	1	2	2	0	0	1	0	0	0	4	2	0	6	2	0	0	3	3	0	0	0
Hhon_g00230.t1	133	17	5	36	29	33	156	4	284	4	11	2	115	361	55	50	181	18	38	33	2	7	11	9	5	11	29	7	2	35	4	3	19	15	22	5	5	9
Hhon_g00233.t1	18	2	2	4	6	7	17	0	58	0	2	2	33	85	11	7	33	4	4	2	4	6	0	0	1	8	4	2	1	6	0	3	1	3	6	2	0	2
Hhon_g00237.t1	72	9	8	28	18	26	120	9	182	4	5	9	113	185	44	36	109	5	18	25	4	5	5	0	1	4	13	13	3	23	2	2	5	13	16	2	1	2
Hhon_g00238.t1	173	20	5	29	24	48	200	17	378	9	19	13	205	429	68	43	190	8	38	42	11	8	12	5	3	21	40	14	7	42	5	9	13	29	30	7	4	5
Hhon_g00239.t1	15	2	5	1	5	8	41	1	57	2	4	1	28	73	8	14	32	3	6	9	1	3	2	2	0	2	4	2	2	9	3	1	1	3	5	0	0	0
Hhon_orphan_25	11	0	0	0	0	0	6	2	24	1	3	0	11	56	2	2	13	2	2	1	0	1	0	0	1	1	2	1	0	0	0	2	4	1	3	0	0	0
Hhon_g00241.t1	33	3	3	16	3	19	47	1	83	3	5	3	43	133	19	17	51	3	14	11	3	1	2	0	2	2	5	2	1	8	0	3	8	4	16	0	3	5
Hhon_orphan_26	38	0	0	14	7	6	51	3	80	3	0	4	37	101	15	8	53	1	16	9	0	1	6	2	0	3	8	4	0	9	2	2	5	4	2	3	0	3
Hhon_g00243.t1	43	0	2	16	15	14	49	1	88	1	6	4	47	110	21	16	56	1	10	8	0	2	3	0	2	3	9	5	1	11	1	1	2	1	7	2	0	4
Hhon_g00245.t1	16	1	2	4	7	9	28	3	59	1	5	1	29	69	11	9	27	4	5	5	1	1	4	0	1	2	6	1	1	8	0	1	2	5	5	0	2	0
Hhon_g00248.t1	93	7	8	23	17	21	105	6	223	6	12	7	107	255	45	30	125	10	27	27	10	7	11	2	6	3	19	9	6	22	3	7	10	17	11	4	1	4
Hhon_g00249.t1	11	3	0	2	4	3	20	1	28	2	1	1	14	45	9	9	16	4	7	3	0	1	1	0	0	0	3	1	0	3	0	1	1	0	5	1	0	1
Hhon_g00251.t1	93	5	1	11	13	18	93	0	117	5	1	0	46	255	13	110	123	18	12	1	0	2	19	0	2	1	10	3	0	14	0	8	0	16	5	0	0	1
Hhon_g00252.t1	41	3	0	5	10	5	34	3	76	0	3	0	28	65	11	5	36	2	5	10	1	1	3	0	2	0	4	1	1	8	1	5	1	5	12	3	2	0
Hhon_g00254.t1	6	0	0	2	3	3	15	0	25	0	1	2	11	34	3	1	17	0	4	4	0	0	0	2	1	1	3	1	0	1	0	1	1	1	0	0	0	0
Hhon_g00255.t1	22	0	0	4	3	9	28	0	48	2	5	3	20	88	11	3	33	2	10	5	1	1	8	1	1	1	4	1	1	4	4	1	2	2	1	0	4	1
Hhon_g00256.t1	46	1	2	16	13	12	57	1	96	4	0	0	35	131	16	9	62	7	12	6	0	1	5	3	2	8	9	4	1	19	4	3	9	3	8	1	1	5
Hhon_orphan_27	15	1	0	5	6	4	31	1	59	3	3	1	20	119	23	11	38	2	17	7	1	1	1	1	3	0	3	0	2	14	2	2	5	2	4	0	0	2
Hhon_g00258.t1	95	4	2	23	13	24	107	5	217	8	10	2	69	317	42	32	100	9	38	15	9	4	7	6	2	5	22	12	3	22	4	6	9	9	21	1	5	7
Hhon_g00260.t1	2471	215	134	648	606	726	2952	194	5759	118	243	119	2591	7886	1152	755	3329	192	765	525	114	151	343	82	131	178	520	256	65	648	96	174	241	363	479	131	67	177
Hhon_g00261.t1	1492	113	82	327	292	401	1734	142	3165	76	133	84	1525	4184	739	393	1859	110	399	307	78	97	148	38	70	121	325	151	35	389	30	85	130	237	273	75	43	73
Hhon_orphan_28	85	13	2	19	23	24	98	9	174	3	8	4	69	180	23	29	114	5	10	19	6	6	10	3	1	4	12	4	2	20	2	4	9	17	17	3	3	2
Hhon_g00264.t1	131	14	9	24	26	25	179	12	274	4	12	7	118	338	52	24	140	12	22	17	7	5	13	3	9	8	24	16	5	30	1	10	16	15	21	2	3	8
Hhon_g00267.t1	59	9	6	12	14	18	90	7	126	2	9	2	54	201	24	26	84	3	11	11	1	7	10	4	8	7	7	2	5	17	0	2	8	14	22	1	1	2
Hhon_g00270.t1	35	3	5	6	5	4	42	2	73	3	4	3	40	106	20	15	53	2	11	3	1	2	3	1	1	3	6	4	0	8	0	0	1	6	8	1	0	3
Hhon_orphan_29	2	0	0	0	1	0	1	0	6	1	0	0	2	5	3	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_30	4	1	0	2	0	0	2	0	2	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Hhon_g00273.t1	86	7	5	26	24	26	108	4	225	3	3	4	107	283	41	36	100	8	34	18	6	5	7	1	5	9	25	5	0	20	2	4	6	7	16	4	3	9
Hhon_g00274.t1	2	0	0	0	3	7	22	0	24	0	0	1	11	43	4	4	14	0	1	1	0	2	1	0	0	0	1	1	0	4	0	0	1	3	1	1	1	1
Hhon_g00275.t1	46	2	3	17	11	11	59	2	138	6	13	1	50	176	16	17	57	3	17	13	3	2	8	4	2	5	14	11	2	11	0	2	6	4	5	3	2	4
Hhon_g00279.t1	1	0	0	0	0	0	1	0	2	0	0	0	1	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00280.t1	142	7	8	31	28	27	155	15	287	6	9	10	166	348	54	45	187	10	50	37	3	6	11	2	3	7	31	22	5	31	1	18	13	24	30	1	4	4
Hhon_g00281.t1	75	8	12	29	43	34	123	8	234	6	9	2	105	305	56	28	118	6	31	31	5	13	10	4	2	4	23	7	6	25	4	9	10	20	22	2	1	3
Hhon_g00283.t1	105	5	5	19	26	22	112	3	203	3	1	8	87	295	49	27	111	5	33	19	6	4	17	4	2	10	15	9	5	27	5	2	8	16	19	5	3	4
Hhon_g00284.t1	17	1	1	8	8	3	15	0	47	1	4	4	27	77	10	5	25	6	12	3	0	1	4	1	3	0	3	0	0	1	0	0	3	0	6	0	2	0
Hhon_g00001.t1	4	0	0	0	0	0	2	0	4	0	0	0	6	13	4	1	4	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0
Hhon_g00002.t1	44	4	5	17	8	8	68	1	115	2	4	3	78	121	13	15	57	0	12	15	6	5	1	4	0	6	2	8	3	14	3	2	2	13	7	3	1	0
Hhon_g00003.t1	114	8	11	28	16	24	127	5	202	9	12	8	95	295	43	22	124	6	25	16	4	4	8	4	6	13	35	8	3	29	4	7	6	20	15	11	2	6
Hhon_g00004.t1	156	9	10	46	38	28	176	7	263	4	7	12	163	264	42	43	179	7	25	37	3	11	9	1	7	9	19	9	2	33	2	5	7	25	21	6	3	5
Hhon_g00005.t1	134	14	7	25	20	31	166	9	243	7	6	10	150	311	56	40	181	11	33	29	3	18	10	1	4	15	24	14	1	29	4	9	12	17	18	5	3	4
Hhon_g00006.t1	152	101	3	47	17	81	292	13	373	2	32	5	322	492	147	93	272	30	30	14	12	32	7	1	2	27	29	5	24	36	1	9	25	48	67	0	11	3
Hhon_g00007.t1	169	23	11	38	34	50	223	12	394	12	16	10	224	509	82	85	252	27	54	46	10	9	18	4	5	15	35	18	9	40	6	10	15	24	48	11	4	5
Hhon_g00008.t1	276	15	24	53	75	88	328	17	725	12	33	12	293	1079	147	124	396	37	112	63	22	30	39	8	23	19	72	28	7	85	12	21	27	36	46	8	4	18
Hhon_g00009.t1	33	3	4	15	13	13	55	3	116	1	6	5	48	168	39	14	50	12	15	11	1	2	10	1	7	3	6	1	2	15	2	1	5	9	5	1	0	2
Hhon_g00011.t1	798	55	44	191	156	195	1002	57	1720	30	94	30	811	2283	328	232	1010	58	212	158	34	52	85	22	25	48	167	89	34	187	21	46	76	98	154	41	21	40
Hhon_g00013.t1	71	6	5	12	12	12	76	9	130	1	2	1	69	196	23	19	69	3	14	8	3	7	8	3	5	2	14	2	1	10	2	9	5	11	12	1	0	5
Hhon_g00014.t1	6	0	0	3	2	2	10	2	12	0	0	0	7	12	1	0	14	1	5	2	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0
Hhon_g00015.t1	28	3	3	20	3	9	30	2	83	3	2	1	50	102	16	13	53	2	9	3	0	0	5	0	1	1	4	2	0	13	0	4	3	3	2	1	1	5
Hhon_g00016.t1	199	10	15	37	50	51	222	6	459	14	10	12	177	614	100	58	236	17	67	41	12	11	31	8	8	12	44	34	6	57	11	11	23	26	47	3	6	17
Hhon_g00023.t1	3	0	1	0	2	1	5	0	11	0	0	1	6	25	0	2	14	0	1	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	4	0	0	0
Hhon_g00024.t1	27	3	0	4	2	6	31	2	47	2	1	0	27	71	9	7	29	2	3	5	4	2	0	0	6	0	3	4	0	2	0	2	1	2	3	1	2	4
Hhon_g00025.t1	55	5	3	17	7	9	54	3	78	1	4	2	35	105	11	9	41	2	17	12	4	2	3	4	1	5	6	1	1	4	13	3	4	2	5	2	1	5
Hhon_orphan_32	4	1	1	1	1	1	3	0	6	1	0	0	0	9	1	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
Hhon_g00027.t1	105	13	4	33	28	29	163	5	279	2	16	1	117	421	57	38	193	7	35	29	4	7	13	1	7	12	26	14	7	27	8	9	10	20	16	3	4	5
Hhon_g00030.t1	60	3	2	14	11	9	61	4	104	4	5	2	57	150	25	10	89	8	8	10	1	2	5	2	4	6	11	4	2	10	7	0	8	11	8	2	3	2
Hhon_g00032.t1	13	0	1	9	2	2	11	2	34	2	3	1	25	34	10	4	16	4	3	6	0	0	2	1	0	1	1	1	0	4	0	0	1	2	5	3	0	1
Hhon_g00033.t1	211	24	11	50	35	68	280	18	511	8	10	10	206	566	111	60	262	15	54	53	10	23	24	4	7	15	47	23	3	41	10	10	25	32	36	7	8	13
Hhon_g00035.t1	187	13	9	46	31	67	248	19	452	13	15	10	211	524	94	54	265	12	51	48	5	15	27	9	17	12	34	23	10	48	4	16	9	24	39	8	7	10
Hhon_g00041.t1	320	29	18	89	65	91	395	29	725	22	16	20	397	928	159	99	419	26	100	61	19	25	38	16	14	22	79	34	11	76	10	11	35	57	65	12	10	7
Hhon_g00044.t1	60	4	2	20	10	17	73	4	132	1	6	1	52	198	21	18	92	7	22	18	6	3	14	2	3	5	18	3	4	13	2	1	5	4	13	5	3	6
Hhon_g00045.t1	3	1	1	0	1	0	8	1	12	0	2	1	4	9	7	1	5	6	0	2	0	1	0	0	1	0	1	0	0	1	0	0	0	0	4	0	0	0
Hhon_g00046.t1	31	0	1	6	4	9	33	1	74	2	1	0	26	82	17	6	24	1	14	6	1	2	8	0	0	1	12	0	0	4	1	0	0	2	10	2	0	2
Hhon_g00048.t1	119	7	6	32	21	31	147	9	241	2	7	3	127	261	35	49	149	14	18	16	8	13	17	6	1	10	34	14	3	28	0	10	4	12	13	7	1	5
Hhon_g00049.t1	1	1	0	0	1	1	5	0	7	0	0	0	5	12	3	1	3	0	2	1	1	0	0	0	1	0	0	0	0	2	0	0	2	0	1	0	0	0
Hhon_g00050.t1	722	64	33	230	156	228	1039	61	1747	30	63	53	965	1980	327	221	1056	40	219	168	40	49	75	28	26	59	152	75	25	182	27	50	67	125	143	39	30	22
Hhon_g00052.t1	111	6	10	34	34	35	168	5	292	6	11	1	100	369	57	48	147	5	29	21	5	12	20	5	6	7	32	6	2	29	3	6	11	14	22	3	4	9
Hhon_g00054.t1	534	50	31	123	112	119	679	44	1239	21	56	25	564	1500	207	149	696	32	133	124	19	31	46	11	23	36	106	51	14	122	16	40	34	64	106	33	9	20
Hhon_g00055.t1	19	0	0	5	4	4	39	1	61	1	4	0	25	127	14	7	56	6	11	2	1	1	4	2	0	3	8	5	1	7	2	0	3	3	7	0	0	1
Hhon_g00057.t1	16	1	2	2	1	0	20	1	20	1	2	1	10	40	8	5	11	3	5	3	0	2	0	1	0	0	4	0	0	5	1	0	0	3	1	0	0	0
Hhon_orphan_33	1	1	0	0	2	0	2	0	4	0	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g00060.t1	1	0	0	0	0	0	2	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00061.t1	161	15	11	55	38	46	210	9	372	5	15	7	201	463	65	63	241	11	46	43	9	13	12	6	11	12	38	16	3	50	6	4	16	28	33	5	14	10
Hhon_orphan_34	1	0	0	1	0	0	0	0	2	0	0	0	5	4	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Hhon_g00062.t1	8	1	0	0	2	2	22	1	34	0	2	0	11	43	5	3	12	0	3	1	0	0	0	1	0	0	1	3	0	5	0	1	3	0	4	0	1	0
Hhon_g00063.t1	5	0	0	0	1	2	1	0	8	0	0	0	2	20	1	2	4	1	2	0	0	0	0	1	0	0	0	1	0	1	0	0	3	1	0	0	0	0
Hhon_g00064.t1	69	4	2	19	14	19	77	6	153	3	3	7	67	192	33	17	83	6	13	14	2	7	12	0	4	6	13	7	3	25	2	5	8	5	18	2	0	4
Hhon_orphan_35	3	0	0	0	0	0	2	1	2	0	0	1	0	12	1	0	3	1	1	1	0	0	0	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0
Hhon_g00067.t1	6	0	1	1	1	5	10	1	32	0	1	0	14	51	5	5	15	0	5	0	2	1	1	1	0	0	2	1	0	4	1	0	2	1	6	0	0	1
Hhon_g00069.t1	112	7	7	25	21	20	121	3	176	2	7	8	98	235	34	34	104	4	17	17	4	7	6	9	3	10	13	7	6	28	0	5	6	17	19	4	1	3
Hhon_g00070.t1	71	4	5	10	18	11	109	8	156	3	9	3	79	239	40	21	98	2	29	26	1	6	10	3	3	3	15	6	3	17	5	2	11	6	9	0	3	2
Hhon_g00072.t1	83	7	9	14	18	32	128	6	237	6	5	4	110	320	39	28	136	6	30	23	4	7	7	5	3	7	15	11	1	20	2	8	11	16	9	0	4	6
Hhon_g00075.t1	10	0	0	2	2	2	12	1	29	0	0	1	9	25	1	4	17	0	2	4	0	1	0	0	0	0	1	0	0	2	0	0	0	1	2	0	0	3
Hhon_g00076.t1	44	3	4	9	6	11	45	1	100	4	1	0	47	119	19	14	49	1	10	21	3	2	4	1	0	4	6	5	1	5	1	1	4	3	7	2	1	3
Hhon_g00077.t1	333	30	9	85	68	96	386	23	762	16	12	24	373	971	141	113	433	26	90	79	18	22	44	14	12	16	61	29	9	68	5	18	33	31	78	16	13	19
Hhon_orphan_36	9	0	0	0	3	0	13	0	9	0	0	0	7	17	4	1	9	0	2	2	1	0	1	1	0	1	4	0	0	0	0	2	0	1	0	0	0	1
Hhon_g00081.t1	12	2	0	0	2	8	18	0	29	1	1	2	9	26	9	2	16	1	3	2	0	1	1	0	1	0	0	1	0	5	2	1	0	0	6	0	0	1
Hhon_g00083.t1	17	1	0	5	1	4	14	0	31	1	0	0	18	40	12	3	34	1	7	0	1	0	1	1	0	1	4	1	0	2	0	2	0	3	3	2	0	0
Hhon_orphan_37	4	1	0	1	1	0	3	0	8	0	0	0	4	11	1	0	5	0	0	3	0	0	1	0	0	2	1	0	0	2	0	0	0	0	1	0	0	0
Hhon_g00085.t1	29	2	1	3	4	11	36	3	69	1	2	2	20	86	16	18	45	6	11	6	1	2	3	1	0	2	7	1	0	6	1	3	1	5	4	2	0	1
Hhon_g00087.t1	18	1	1	9	1	2	27	3	35	2	2	2	14	51	10	5	23	2	5	5	1	2	1	0	0	0	0	3	0	2	0	1	0	6	2	2	0	0
Hhon_orphan_38	3	1	1	0	0	1	4	0	4	0	0	0	2	3	1	3	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	1	0	0	1	0	0	0
Hhon_g00090.t1	34	4	1	12	7	16	55	2	113	1	4	3	39	152	24	9	43	4	9	13	1	4	7	2	3	3	5	4	1	8	0	1	5	1	6	1	5	2
Hhon_orphan_39	19	4	0	6	1	7	14	0	37	1	4	4	18	56	11	5	22	0	4	2	1	3	0	1	0	2	2	1	0	6	3	0	3	1	1	1	1	2
Hhon_g00093.t1	87	11	3	31	17	27	130	7	257	7	8	7	124	350	42	25	146	10	35	27	6	10	10	4	2	7	20	9	4	37	4	6	12	16	30	5	2	7
Hhon_g00096.t1	23	1	1	2	13	5	25	1	45	1	0	0	18	54	8	3	29	0	5	4	0	3	3	3	0	2	1	1	1	3	1	2	2	4	3	0	0	0
Hhon_g00098.t1	6867	544	356	1770	1465	1906	8494	563	15843	360	537	403	7416	20065	3098	2124	9274	554	1906	1335	284	470	920	171	334	440	1431	657	229	1714	225	425	594	948	1320	336	224	369
Hhon_g00101.t1	84	5	3	12	10	15	77	8	141	7	5	2	58	204	31	16	61	4	24	12	1	3	4	1	3	3	13	7	3	18	1	4	6	16	4	3	4	4
Hhon_g00102.t1	73	5	5	17	19	18	86	17	143	2	8	2	91	190	30	22	86	3	15	14	1	10	3	2	2	2	6	10	3	20	4	3	8	6	10	3	0	2
Hhon_g00105.t1	87	7	5	15	20	30	106	9	219	5	11	2	88	275	38	34	109	9	28	21	4	3	9	5	4	7	22	8	1	24	2	3	5	9	14	4	0	7
Hhon_g00107.t1	19	1	2	4	9	4	21	1	43	0	2	1	28	83	10	8	31	2	4	7	2	2	2	0	3	1	9	1	0	6	0	1	4	2	3	1	1	2
Hhon_g00109.t1	44	3	1	7	10	14	63	3	140	2	6	1	48	202	38	19	60	2	13	8	2	5	5	1	1	3	11	6	1	14	1	4	3	10	15	3	3	3
Hhon_g00111.t1	374	40	15	78	88	110	437	47	814	31	51	11	421	1132	181	88	465	30	90	87	14	22	39	10	23	26	80	30	7	98	11	20	23	51	70	14	11	19
Hhon_g00113.t1	18	2	1	4	4	1	18	1	39	1	1	0	9	51	9	5	13	2	3	4	2	1	2	1	1	1	1	0	2	2	0	1	0	1	2	0	0	1
Hhon_g00114.t1	89	10	6	21	22	15	138	5	225	6	10	7	136	287	40	20	124	7	29	23	4	7	9	3	11	5	18	10	7	20	2	5	14	14	18	1	1	2
Hhon_g00121.t1	58	10	0	16	15	11	80	1	110	4	1	0	43	216	26	8	106	11	16	18	5	5	6	4	0	10	19	4	4	20	0	8	2	5	8	1	0	2
Hhon_g00123.t1	99	8	4	20	18	23	171	12	327	9	13	7	117	514	80	36	169	10	65	38	9	5	26	6	10	10	41	11	4	43	13	10	25	23	18	7	6	10
Hhon_g00125.t1	59	3	1	10	7	10	61	1	136	2	3	1	63	163	15	13	67	4	22	21	2	4	6	1	1	1	8	4	5	12	3	5	6	8	6	3	0	5
Hhon_g00127.t1	33	1	2	13	11	16	53	0	102	1	7	0	46	137	26	8	58	5	13	10	4	1	8	2	3	2	10	4	1	11	1	1	7	3	10	2	0	1
Hhon_orphan_40	1	0	0	0	0	0	2	0	3	0	0	0	1	14	1	0	4	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Hhon_g00129.t1	260	21	16	79	70	86	301	24	658	17	25	11	342	817	139	76	406	30	94	54	18	16	39	7	9	8	63	30	7	77	9	14	30	43	62	9	7	12
Hhon_g00130.t1	354	13	13	90	54	74	410	26	603	8	18	26	404	684	111	83	391	16	92	51	12	8	28	13	7	18	56	29	15	67	9	18	29	47	72	6	22	4
Hhon_g00131.t1	119	8	12	38	20	26	163	10	270	7	11	12	125	333	46	42	164	2	38	31	12	5	13	1	2	16	36	14	2	40	9	4	8	28	13	12	3	2
Hhon_g00133.t1	34	2	7	7	10	17	55	4	87	3	1	2	38	145	14	16	46	6	8	6	1	1	4	1	2	2	3	5	1	7	3	0	2	6	10	1	1	8
Hhon_g00135.t1	38	4	2	15	14	17	76	6	121	1	9	2	74	154	25	14	77	4	25	7	2	5	9	5	1	7	13	7	2	16	3	2	6	9	15	4	2	5
Hhon_g00137.t1	23	3	3	12	10	14	50	1	86	2	1	3	31	119	16	14	41	5	9	13	2	3	5	2	0	3	9	5	6	7	0	5	3	4	8	2	1	1
Hhon_g00139.t1	51	4	3	15	7	13	63	5	108	4	2	4	54	137	12	17	70	1	10	12	2	4	3	3	5	5	19	4	3	13	1	6	1	8	11	4	2	4
Hhon_g00140.t1	197	19	6	55	43	49	238	10	513	14	13	7	197	575	99	60	242	23	47	47	4	12	31	6	10	13	39	23	10	50	5	7	25	21	47	7	10	15
Hhon_g00143.t1	59	4	5	20	14	8	54	4	99	2	5	2	60	147	31	18	55	2	14	12	1	2	12	2	5	5	8	7	0	13	3	5	5	5	6	1	2	2
Hhon_orphan_41	14	1	0	6	6	7	23	0	23	2	1	1	16	43	7	4	15	1	2	4	2	0	1	0	1	3	1	0	0	4	1	1	0	3	4	0	0	0
Hhon_g00146.t1	78	7	5	16	16	14	86	9	157	2	5	3	56	154	20	19	87	1	19	14	2	9	1	3	2	6	9	4	3	18	1	4	7	8	16	3	1	3
Hhon_orphan_42	24	4	0	8	2	9	36	4	62	0	5	4	30	148	22	13	28	3	9	10	2	0	5	1	3	1	12	1	1	10	3	2	2	7	8	0	2	3
Hhon_orphan_43	4	0	2	0	0	0	3	0	7	0	0	0	6	16	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
Hhon_g00147.t1	13	0	0	2	2	2	7	8	19	0	0	0	16	35	6	6	19	1	6	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0
Hhon_g00148.t1	19	1	1	2	3	3	33	0	45	2	2	0	21	83	8	3	29	5	3	2	1	0	0	0	0	1	2	4	1	10	0	2	1	3	3	1	0	1
Hhon_g00150.t1	87	6	6	25	22	14	116	7	233	4	2	5	97	347	54	19	120	11	26	29	4	2	16	7	1	9	21	8	4	26	4	4	9	15	19	2	3	5
Hhon_g00151.t1	19	0	1	7	3	8	18	3	39	0	0	1	12	52	8	8	18	0	3	4	1	3	1	0	2	3	2	1	0	9	2	0	2	2	2	0	0	1
Hhon_orphan_44	23	2	0	8	6	9	36	6	62	0	4	2	41	92	19	3	32	2	9	8	4	4	4	1	1	1	6	2	1	8	2	6	4	2	7	3	1	1
Hhon_g00153.t1	247	20	11	52	42	54	280	20	572	9	13	8	223	652	98	58	292	13	68	55	8	21	20	8	12	16	51	30	4	62	4	17	17	43	49	10	6	12
Hhon_g00154.t1	112	12	10	36	28	29	143	12	259	7	8	5	153	304	39	33	137	3	33	27	6	11	8	4	1	8	21	8	3	43	0	5	7	21	30	7	2	8
Hhon_g00155.t1	49	4	2	24	15	20	76	3	147	1	1	3	73	172	37	13	85	8	14	8	2	7	8	3	4	5	8	1	2	11	0	2	6	12	11	5	0	5
Hhon_g00157.t1	81	2	6	17	13	16	85	5	158	5	2	4	102	152	21	20	87	2	25	22	7	10	6	3	2	5	9	3	2	13	4	4	4	12	9	2	3	1
Hhon_g00158.t1	71	5	4	17	15	23	85	1	177	4	7	1	75	193	31	25	96	4	15	10	5	10	8	1	0	6	20	4	0	19	5	9	4	8	18	5	2	2
Hhon_g00160.t1	187	18	13	48	37	50	226	14	416	6	18	13	203	510	75	71	226	10	42	42	6	18	17	9	5	15	29	16	6	52	3	10	9	24	43	5	5	13
Hhon_g00163.t1	382	34	21	91	82	91	452	20	749	23	18	23	377	1009	148	101	456	20	98	60	21	22	33	10	11	19	74	35	20	86	18	28	31	58	74	14	11	15
Hhon_g00165.t1	49	3	1	13	8	12	50	4	90	0	8	7	40	117	26	10	70	2	7	11	5	0	4	1	2	1	7	2	0	10	2	3	1	7	7	1	3	1
Hhon_g00167.t1	76	6	1	6	11	17	81	2	148	5	4	1	76	223	38	19	73	5	15	18	2	1	7	2	9	8	19	6	4	23	3	2	5	21	3	3	0	2
Hhon_g00168.t1	44	4	2	8	17	12	83	5	123	1	2	1	69	189	30	23	61	7	15	11	3	5	8	1	2	5	8	5	4	25	2	4	3	6	11	2	1	2
Hhon_g00170.t1	236	20	8	47	58	63	267	18	527	10	20	8	251	580	103	78	282	21	55	62	11	11	21	1	7	22	51	23	7	39	5	21	13	20	40	10	7	5
Hhon_orphan_45	6	0	0	4	3	1	2	0	7	0	0	0	4	14	2	2	13	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
Hhon_g00174.t1	33	3	3	11	3	8	36	2	78	1	3	1	36	75	11	6	27	0	9	7	2	5	1	0	2	2	6	2	0	4	0	0	2	0	10	0	1	4
Hhon_g00175.t1	46	3	1	13	7	5	52	3	98	0	3	0	41	116	18	15	41	4	16	8	2	6	5	2	2	2	18	4	0	8	2	2	2	8	7	5	0	2
Hhon_g00177.t1	21	0	0	6	6	2	20	1	25	0	1	0	10	55	10	4	29	1	7	3	1	0	1	2	1	5	5	7	0	6	1	0	1	1	4	0	0	1
Hhon_g00178.t1	263	24	22	58	55	71	361	16	610	11	27	7	242	825	109	88	332	22	73	47	10	11	38	10	8	22	64	24	11	76	8	15	44	43	58	16	6	14
Hhon_g00179.t1	9	0	1	4	3	1	9	1	40	0	1	1	18	29	7	4	24	0	2	0	3	0	0	0	0	0	2	0	0	5	1	3	2	2	3	0	0	1
Hhon_orphan_46	3	0	0	0	0	1	2	0	4	0	0	0	5	7	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
Hhon_orphan_47	9	1	0	0	1	0	5	1	12	0	0	0	4	23	1	2	8	0	1	1	1	0	0	0	0	3	1	0	0	1	0	0	0	1	3	0	0	3
Hhon_g00185.t1	84	8	6	26	22	30	123	6	179	1	8	6	108	236	38	22	127	7	36	16	3	7	7	2	5	6	10	5	3	25	1	5	6	11	11	4	2	5
Hhon_g00187.t1	616	53	46	132	143	193	779	54	1424	29	48	39	712	1731	310	195	815	48	200	161	33	44	76	12	28	32	120	63	19	164	21	40	62	72	140	29	8	32
Hhon_g00189.t1	12	2	0	1	10	3	13	1	30	2	0	0	8	38	3	2	16	2	0	3	0	1	2	0	1	0	2	1	1	2	0	1	1	1	0	1	0	1
Hhon_g00190.t1	8	0	0	1	1	2	7	0	5	0	0	1	2	12	0	0	1	0	1	0	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0
Hhon_orphan_48	3	0	0	2	0	0	7	0	14	0	1	0	5	20	0	1	10	0	0	2	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0
Hhon_g00192.t1	26	0	0	10	6	2	36	2	78	0	2	0	28	93	12	16	26	4	5	7	0	7	4	0	3	1	5	1	0	8	1	1	3	5	4	1	2	2
