lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00173.t1	58	9	2	12	14	23	79	5	170	4	11	5	64	235	36	17	102	3	24	20	7	5	12	2	2	7	22	4	4	21	1	8	7	11	13	2	5	3
Hhon_g00176.t1	90	9	6	22	20	29	118	7	273	2	7	5	105	316	52	37	136	7	42	28	4	2	13	1	6	6	12	11	0	32	3	4	9	13	22	7	5	5
Hhon_g00180.t1	9	0	0	0	1	1	19	1	28	0	1	0	9	38	6	2	10	1	0	3	1	1	1	0	1	0	3	0	0	5	0	2	3	0	2	0	0	0
Hhon_orphan_16	9	3	0	0	0	3	12	0	15	0	1	0	3	31	4	2	15	0	1	1	0	0	2	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0
Hhon_g00181.t1	7	0	0	1	1	3	11	1	22	0	1	0	9	47	10	2	7	0	3	4	0	0	1	2	0	0	0	1	0	3	1	1	1	2	4	1	1	1
Hhon_g00182.t1	52	4	2	15	18	12	76	2	141	2	4	1	69	258	29	23	86	11	16	12	5	3	10	2	2	5	11	6	2	25	2	1	11	9	8	4	5	2
Hhon_orphan_17	10	0	0	1	0	0	9	1	19	0	2	0	4	24	4	2	15	0	1	1	0	2	2	1	1	2	2	0	0	2	2	0	0	0	3	0	0	0
Hhon_orphan_18	91	8	2	25	16	17	105	4	171	7	3	3	84	338	57	25	103	15	23	27	10	5	8	2	1	1	21	13	3	26	1	2	14	9	11	0	3	2
Hhon_g00183.t1	234	15	8	53	40	55	240	12	459	12	12	9	234	550	87	69	283	18	39	48	13	14	15	12	5	26	31	20	8	49	9	5	12	27	28	5	7	10
Hhon_g00184.t1	740	49	34	154	178	225	932	53	2140	57	90	39	916	3095	447	230	1099	74	252	178	51	41	90	28	64	56	160	115	29	208	25	49	105	78	134	62	28	54
Hhon_g00186.t1	50	1	3	8	15	22	80	3	149	8	15	10	70	212	31	15	69	3	19	17	7	6	3	0	4	1	8	7	2	11	2	6	5	6	15	3	3	3
Hhon_g00188.t1	3	1	0	1	2	0	3	0	8	0	0	0	7	11	0	2	5	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Hhon_orphan_19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00191.t1	61	1	0	20	23	21	98	9	178	3	6	2	49	214	28	27	91	5	15	5	2	1	9	1	2	6	25	6	2	18	2	6	11	6	12	1	1	3
