lipophil	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_2.1	unknown_2.2	fibre	trans_fibre_gland	gland_1	trans_gland_epithelia	epithelia_gland_like	epithelia_unknown_1	epithelia_unknown_2	epithelia_unknown_3	epithelia_ventral	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
Tadh_orphan_21	1	1	0	0	0	2	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Tadh_TriadG18942	10	1	0	0	0	7	1	8	2	5	0	5	0	14	4	11	2	1	0	1	0	0	1	1	3	0	3	2	1	1	2	0	0
Tadh_TriadG18222	3	0	0	0	1	1	0	6	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tadh_TriadG19158	50	6	6	3	5	20	1	70	12	14	3	22	14	66	15	63	3	7	0	3	2	2	2	6	2	0	8	2	0	5	8	2	2
Tadh_TriadG52238	80	9	8	1	2	33	7	107	13	30	4	22	13	85	23	66	3	6	3	3	0	3	2	5	4	2	6	3	3	0	9	5	3
Tadh_TriadG52240	186	20	17	9	11	78	5	243	19	68	8	56	30	181	56	145	10	19	12	5	0	8	7	17	15	4	16	9	6	3	12	10	10
Tadh_TriadG52243	9	3	0	0	0	7	1	30	2	9	1	8	7	22	4	25	0	0	0	0	1	1	0	2	2	5	2	0	0	5	1	0	2
Tadh_TriadG19167	23	1	0	2	1	17	4	39	4	2	1	15	6	26	9	30	0	0	1	1	0	1	0	1	3	2	1	0	2	0	3	1	0
Tadh_TriadG19282	349	26	25	20	25	133	23	416	33	137	7	78	67	290	92	289	14	27	10	8	0	10	7	19	23	8	41	18	18	7	35	14	20
Tadh_TriadG52248	257	23	13	12	24	86	20	285	21	92	7	84	65	192	71	224	13	24	10	10	8	9	5	24	18	6	29	12	12	6	38	10	20
Tadh_orphan_22	5	0	3	0	0	4	0	6	0	0	0	2	0	4	1	3	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tadh_orphan_23	14	1	0	2	2	4	1	20	0	3	1	3	6	21	2	22	0	2	0	0	0	1	0	0	1	0	5	0	1	1	0	0	0
Tadh_TriadG52252	31	3	4	2	3	14	4	29	3	8	1	12	4	50	9	36	1	6	1	0	0	3	0	2	4	1	2	1	1	2	5	0	4
