lipophil	trans	unknown_1	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Hhon_g00160.t1	248	171	50	226	422	203	811	379
Hhon_g00163.t1	494	278	91	452	772	377	1613	758
Hhon_g00165.t1	63	40	12	50	90	40	213	77
Hhon_g00167.t1	83	43	17	81	153	76	334	158
Hhon_g00168.t1	54	52	12	83	124	69	280	130
Hhon_g00170.t1	291	202	63	267	537	251	965	452
Hhon_orphan_45	10	5	1	2	7	4	29	5
Hhon_g00174.t1	47	18	8	36	79	36	113	57
Hhon_g00175.t1	60	31	5	52	98	41	175	105
Hhon_g00177.t1	27	12	2	20	25	10	94	47
Hhon_g00178.t1	343	217	71	361	621	242	1266	620
Hhon_g00179.t1	14	10	1	9	40	18	60	24
Hhon_orphan_46	3	0	1	2	4	5	10	5
Hhon_orphan_47	9	5	0	5	12	4	32	15
Hhon_g00185.t1	116	72	30	123	180	108	401	177
Hhon_g00187.t1	794	532	193	779	1453	712	2856	1404
Hhon_g00189.t1	13	15	3	13	32	8	57	20
Hhon_g00190.t1	9	2	2	7	5	2	13	8
Hhon_orphan_48	5	2	0	7	14	5	30	7
Hhon_g00192.t1	36	26	2	36	78	28	131	64
Hhon_orphan_49	8	4	4	17	30	15	75	28
Hhon_orphan_50	3	0	2	3	4	2	10	1
Hhon_g00196.t1	96	53	20	106	169	94	360	153
Hhon_g00197.t1	57	47	13	65	137	65	268	137
Hhon_g00200.t1	13	10	3	17	28	13	60	33
Hhon_g00202.t1	9	12	3	15	29	11	48	35
Hhon_g00204.t1	159	105	39	164	346	139	641	333
Hhon_g00208.t1	2249	1428	492	2210	4240	1894	8562	3924
Hhon_g00211.t1	42	33	7	44	84	44	179	81
Hhon_g00214.t1	12	6	3	7	21	10	18	8
Hhon_g00217.t1	37	27	20	32	52	41	144	67
Hhon_g00218.t1	119	58	25	107	214	83	458	183
Hhon_orphan_51	1	4	1	4	9	4	12	9
Hhon_g00220.t1	81	61	12	94	189	71	384	152
Hhon_g00225.t1	53	36	21	73	108	51	264	114
Hhon_orphan_52	9	2	4	7	18	10	28	11
Hhon_g00227.t1	86	45	18	94	182	70	328	161
Hhon_orphan_53	2	4	0	2	4	0	9	8
Hhon_g00228.t1	60	40	13	80	154	47	274	120
Hhon_g00229.t1	513	318	107	508	916	341	1713	931
Hhon_g00231.t1	29	15	9	28	43	29	90	51
Hhon_g00232.t1	61	37	10	47	104	59	226	112
Hhon_g00234.t1	49	31	11	49	99	45	183	98
Hhon_g00235.t1	40	22	1	42	74	30	152	82
Hhon_orphan_54	1	8	0	7	11	5	18	17
Hhon_g00236.t1	1235	753	259	1248	2207	1089	4574	2164
Hhon_g00240.t1	306	208	51	295	481	274	887	453
Hhon_g00242.t1	35	19	13	39	61	18	140	69
Hhon_orphan_55	139	96	20	145	227	86	418	186
Hhon_g00244.t1	82	59	11	82	186	71	356	161
Hhon_g00246.t1	15	8	4	20	32	13	89	37
Hhon_g00250.t1	9	7	2	14	20	10	54	15
Hhon_g00253.t1	46	19	8	43	66	42	136	76
Hhon_g00257.t1	134	78	31	133	196	118	481	216
Hhon_orphan_56	2	1	0	2	4	3	10	6
Hhon_g00259.t1	56	42	7	49	95	49	186	80
Hhon_g00262.t1	81	60	7	67	147	75	282	127
Hhon_g00263.t1	72	63	22	80	160	74	322	172
Hhon_g00265.t1	50	35	15	49	101	57	190	95
Hhon_g00266.t1	22	11	3	17	58	18	96	36
Hhon_g00269.t1	29	21	7	28	60	35	99	57
Hhon_g00271.t1	20	14	5	48	68	20	175	71
Hhon_orphan_57	0	2	0	0	0	0	3	0
Hhon_g00272.t1	317	184	58	274	568	251	1150	561
Hhon_g00276.t1	0	0	0	0	0	1	1	0
Hhon_g00277.t1	32	14	7	23	50	33	122	55
Hhon_orphan_58	0	1	0	1	1	0	5	0
Hhon_g00282.t1	3771	2293	782	3604	6518	3271	13366	6248
Hhon_orphan_59	50	39	10	35	89	33	183	66
Hhon_orphan_60	11	5	2	13	26	6	94	35
Hhon_g00285.t1	99	51	7	68	199	73	367	134
Hhon_g00286.t1	6	2	2	4	16	8	29	8
Hhon_g00287.t1	1	0	0	0	0	1	1	0
Hhon_g00290.t1	28	16	3	22	36	19	95	29
Hhon_g00291.t1	11	14	1	17	28	15	72	34
Hhon_g00293.t1	7	9	3	13	20	7	54	20
Hhon_orphan_61	2	2	0	0	3	0	7	1
Hhon_g00297.t1	43	26	6	29	99	32	171	73
Hhon_g00299.t1	102	77	28	114	179	111	396	197
Hhon_orphan_62	4	0	1	2	5	3	28	10
Hhon_g00301.t1	98	85	27	113	202	100	464	187
Hhon_g00302.t1	31	14	5	40	64	41	111	43
Hhon_g00304.t1	94	67	17	83	168	83	344	170
Hhon_orphan_63	1	1	1	2	2	1	6	3
Hhon_g00306.t1	33	17	7	38	48	32	114	37
Hhon_g00308.t1	21	15	4	16	32	20	74	35
Hhon_g00309.t1	110	57	17	98	160	95	300	176
Hhon_g00311.t1	26	26	4	37	53	28	113	43
Hhon_g00313.t1	48	35	7	62	61	52	165	69
Hhon_orphan_65	3	0	0	3	9	1	10	3
Hhon_g00315.t1	20	6	2	22	46	15	80	30
Hhon_g00322.t1	663	377	124	602	1110	537	2110	1037
Hhon_g00324.t1	13	9	0	17	36	21	52	33
Hhon_g00325.t1	4892	3016	1017	4539	8297	3911	16964	7659
Hhon_g00327.t1	30	15	3	28	50	16	116	57
Hhon_g00333.t1	31	19	7	31	59	22	126	54
Hhon_g00334.t1	358	370	127	668	1261	484	3417	1513
Hhon_g00335.t1	31	39	22	65	138	19	327	99
Hhon_g00336.t1	15	16	2	6	37	11	61	39
Hhon_g00337.t1	24	13	6	34	57	20	133	61
Hhon_g00338.t1	29	25	7	28	56	28	121	40
Hhon_g00340.t1	77	47	11	48	108	65	217	110
Hhon_g00341.t1	10	10	1	10	22	9	79	25
Hhon_g00344.t1	39	18	12	45	102	38	332	112
Hhon_g00347.t1	37	36	7	56	96	44	191	83
Hhon_g00349.t1	95	60	17	93	146	79	291	154
Hhon_g00350.t1	1	1	2	5	4	4	10	3
Hhon_g00353.t1	119	67	15	112	212	120	413	197
Hhon_g00358.t1	69	58	20	73	130	87	277	152
Hhon_orphan_66	0	2	0	3	3	1	2	2
Hhon_g00362.t1	115	56	25	97	178	91	393	177
Hhon_g00369.t1	4	0	3	1	5	3	9	6
Hhon_g00370.t1	28	27	7	33	76	20	130	83
Hhon_g00372.t1	82	49	16	68	111	63	243	105
Hhon_orphan_67	11	7	2	22	25	8	59	35
Hhon_g00374.t1	55	30	10	45	88	29	235	121
Hhon_g00375.t1	13	7	5	11	27	10	87	48
Hhon_g00376.t1	12	4	4	10	38	19	101	29
Hhon_g00377.t1	2	0	1	7	12	6	34	11
Hhon_g00378.t1	206	109	43	194	341	158	731	361
Hhon_orphan_68	2	1	0	6	9	3	10	7
