#OG_name	HoiH23.fasta	TrH2.fasta	Hhon.fasta	Tadh.fasta
OG_157	HoiH23_PlH23_001140-RA	TrH2_TrispH2_002558-RA	Hhon_g00550.t1	Tadh_TriadT54176
OG_158	HoiH23_PlH23_001139-RA	TrH2_TrispH2_002559-RA	Hhon_g00551.t1	Tadh_wf_g2949.t1
OG_159	HoiH23_PlH23_001138-RA	TrH2_TrispH2_002560-RA	Hhon_g00552.t1	Tadh_TriadT54177
OG_160	HoiH23_PlH23_001137-RA	TrH2_TrispH2_002561-RA	Hhon_g00553.t1	Tadh_TriadT54178
OG_161	HoiH23_PlH23_001133-RA	TrH2_TrispH2_002566-RA	Hhon_g00556.t1	Tadh_TriadT54182
OG_162	HoiH23_PlH23_001132-RA	TrH2_TrispH2_002567-RA	Hhon_g00557.t1	Tadh_TriadT54183
OG_163	HoiH23_PlH23_001131-RA	TrH2_TrispH2_002568-RA	Hhon_g00558.t1	Tadh_TriadT63724
OG_164	HoiH23_PlH23_001128-RA	TrH2_TrispH2_002571-RA	Hhon_g00561.t1	Tadh_TriadT54187
OG_165	HoiH23_PlH23_001126-RA	TrH2_TrispH2_002573-RA	Hhon_g00564.t1	Tadh_TriadT23075
OG_166	HoiH23_PlH23_001125-RA	TrH2_TrispH2_002574-RA	Hhon_g00565.t1	Tadh_TriadT54190
OG_167	HoiH23_PlH23_001123-RA	TrH2_TrispH2_002576-RA	Hhon_g00567.t1	Tadh_TriadT54192
OG_168	HoiH23_PlH23_001122-RA	TrH2_TrispH2_002577-RA	Hhon_g00568.t1	Tadh_TriadT54193
OG_169	HoiH23_PlH23_001120-RA	TrH2_TrispH2_002579-RA	Hhon_g00570.t1	Tadh_TriadT15482
OG_170	HoiH23_PlH23_010338-RA	TrH2_TrispH2_002582-RA	Hhon_g00573.t1	Tadh_TriadT54198
OG_171	HoiH23_PlH23_010620-RA	TrH2_TrispH2_010363-RA	Hhon_g00581.t1	Tadh_TriadT35611
OG_172	HoiH23_PlH23_010618-RA	TrH2_TrispH2_010366-RA	Hhon_g00583.t1	Tadh_TriadT54205
OG_173	HoiH23_PlH23_009884-RA	TrH2_TrispH2_010367-RA	Hhon_g00584.t1	Tadh_TriadT22495
OG_174	HoiH23_PlH23_009880-RA	TrH2_TrispH2_010372-RA	Hhon_g00588.t1	Tadh_TriadT16229
OG_175	HoiH23_PlH23_006097-RA	TrH2_TrispH2_009698-RA	Hhon_g00597.t1	Tadh_TriadT54217
OG_176	HoiH23_PlH23_006098-RA	TrH2_TrispH2_009699-RA	Hhon_g00598.t1	Tadh_TriadT63243
OG_177	HoiH23_PlH23_006099-RA	TrH2_TrispH2_009700-RA	Hhon_g00599.t1	Tadh_wf_g2996.t1
