module	community	label	color	classification
Hhon.thistle2	gc028	epithelia_dorsal	mediumorchid4	epithelia
TrH2.pink	gc029	unknown_1	darkolivegreen2	unknown_1
Hhon.darkgreen	gc029	unknown_1	darkolivegreen2	unknown_1
Hhon.darkorange2	gc029	unknown_1	darkolivegreen2	unknown_1
HoiH23.lightsteelblue1	gc029	unknown_1	darkolivegreen2	unknown_1
HoiH23.steelblue	gc029	unknown_1	darkolivegreen2	unknown_1
TrH2.yellow	gc030	cilia	goldenrod2	none
Hhon.brown	gc030	cilia	goldenrod2	none
HoiH23.brown	gc030	cilia	goldenrod2	none
Hhon.tan	gc032	epithelia_like	plum3	epithelia
HoiH23.darkturquoise	gc032	epithelia_like	plum3	epithelia
