metacell	num_cells	umis_tot	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
92	76	126526	1664.81578947368	1338.25	1702.5	1977	0.431826745253037	0.0599597935290721	0.107391894956432	0.210773896428452	0.601050892021403
93	64	93802	1465.65625	1210.25	1374.5	1659.75	0.556806672372937	0.0624113726082708	0.114921021379438	0.243376740515159	0.674523101441216
94	61	64561	1058.37704918033	838	996	1235	0.674551492539465	0.0796580872187424	0.147925910380219	0.288071289466073	0.80911434830538
95	116	187207	1613.85344827586	1262	1506.5	1850.5	0.716324544264368	0.049063674865469	0.0830096794362726	0.194221886650722	0.729049418777871
96	45	51184	1137.42222222222	843	1152	1338	0.674403656555509	0.0806813082079194	0.175617436936118	0.285439507660658	0.749187584463112
97	44	50947	1157.88636363636	954.25	1086.5	1322	0.698420772870773	0.0939988634689818	0.185397058691148	0.338009913625076	0.878949624229802
98	123	123652	1005.30081300813	743.5	933	1164.5	0.798069744639267	0.0789028943542	0.154074668229706	0.429204828377561	1.58891524451535
99	86	150965	1755.40697674419	1306	1654	2045	0.413193931075439	0.0650207134731352	0.121075233912428	0.270900803134883	1.01723587148121
100	56	32226	575.464285714286	414	572	718.5	0.566741865585512	0.181535382071609	0.29702542873425	0.593027247938276	1.44155718590205
101	81	206797	2553.04938271605	1858	2477	3186	0.331878207103265	0.0477646034605551	0.095919534600567	0.224860099135114	0.74777316587898
102	58	97746	1685.27586206897	1163	1581.5	2098.25	0.591495514831241	0.0772396820843954	0.14149742818601	0.322818441740547	1.04875302572697
103	78	132641	1700.52564102564	1036	1568	2210	0.561175450467523	0.0718824284329048	0.126065857278585	0.331363775382903	1.14541433607591
104	72	103909	1443.18055555556	1021	1307.5	1689.5	0.435856805029986	0.0682699139100733	0.125388448391905	0.266683769406388	0.758655734595633
105	34	126290	3714.41176470588	2444.5	3391.5	4159.5	0.41905177172817	0.0669508443789663	0.108494212112411	0.226256342888008	0.58715903082511
106	23	59294	2578	1869	2378	2950.5	0.612657435902194	0.088374283969809	0.161796613729971	0.344251312592477	0.967448111291665
107	78	98309	1260.37179487179	1051.25	1215.5	1596	0.426445999645373	0.0781398421544695	0.127741927375468	0.252213356684551	0.655336548103067
108	98	93353	952.581632653061	679.75	935	1177	0.51800986695727	0.0769901220159305	0.1365283218346	0.267612528698679	0.714473074446379
109	57	122915	2156.40350877193	1776	2121	2609	0.435502382885111	0.0651417580661174	0.12116414922087	0.233539188074904	0.639580145361117
110	73	169660	2324.1095890411	1936	2247	2671	0.398391986288709	0.0580388783444737	0.102654391068014	0.203341330845574	0.627147212013308
111	68	118007	1735.39705882353	1374.75	1673	2005.5	0.512856860078814	0.0621894758710438	0.112526626421588	0.237484650988108	0.678220204133082
112	53	80776	1524.07547169811	1227	1548	1802	0.394938310329394	0.0806538379837945	0.150654911611661	0.286905227611066	0.685913323641587
113	92	152056	1652.78260869565	1458.25	1636.5	1883.25	0.423374624293794	0.0645478608734921	0.11733417132231	0.239271657200819	0.673299246301163
114	78	125118	1604.07692307692	1251	1618.5	1939.75	0.33084067400492	0.0720299161755535	0.122245143374492	0.233026335741411	0.602813343917227
115	109	115254	1057.37614678899	761	1025	1246	0.449765542473444	0.0633860433633981	0.107450669667876	0.224228062887006	0.638821096561437
116	61	78041	1279.3606557377	1037	1330	1523	0.40445090484955	0.0787845805330959	0.13875722138789	0.285889610680898	0.668864355137968
117	83	154686	1863.68674698795	1465.5	1750	2085.5	0.346103555571444	0.0605579170404961	0.102006024035879	0.206316781928148	0.553659281758007
118	76	154461	2032.38157894737	1601.75	2064	2440.75	0.285244790364608	0.063446971977074	0.109897820850841	0.227325070321714	0.62146581013099
119	40	78538	1963.45	1398.75	1795	2184.5	0.337333675110666	0.0788065701140611	0.143924456124014	0.283318909379602	0.67163669387468
120	87	252023	2896.81609195402	2381	2789	3259.5	0.29621147427826	0.0392973051573808	0.0834579507740572	0.189328124345038	0.565481784199258
121	56	111626	1993.32142857143	1428	2021.5	2468	0.319222494909305	0.0718586158371347	0.133663466061381	0.264623612374019	0.694973226732352
122	68	152833	2247.54411764706	1808.25	2150.5	2523	0.341270854350318	0.0643105956317281	0.116741838284758	0.233999278690173	0.633144578341639
123	116	565692	4876.65517241379	3639	4752.5	5891.25	0.425532320421589	0.0351356869093571	0.104528172238552	0.291443731769945	1.14912945387962
124	80	397596	4969.95	2919	4236.5	6401.25	0.458004849262499	0.0434370798882088	0.115022636329896	0.338254526903517	1.24317120209821
125	84	148487	1767.70238095238	1301	1722.5	2247.5	0.520981914359258	0.0660875282348723	0.144461569344736	0.356473578757759	1.33046801132803
126	64	163002	2546.90625	1728	2499	3308	0.515481549908527	0.0604001668286691	0.154409297608531	0.359898351337968	1.31082080087701
127	78	206329	2645.24358974359	1504.25	2282.5	3373	0.455690344684046	0.0536662848348161	0.14030518224783	0.339071430203022	1.16741272681679
128	90	313723	3485.81111111111	2495.75	3406	4381	0.471743422841635	0.0411812073269919	0.118805779411372	0.314596428828677	1.24313224404293
129	121	347073	2868.37190082645	1815	2686	3874	0.452940648355992	0.0390472828719011	0.107983702592781	0.300827333954689	1.1820309509339
130	87	293035	3368.2183908046	2660.5	3138	4053	0.450451837225639	0.0404753608247335	0.114733589315334	0.313057092324654	1.2694503794136
131	58	200194	3451.62068965517	2627.25	3316.5	3899	0.427725668893695	0.0531835975458885	0.14503280390491	0.343010825292494	1.17846669340015
132	56	232178	4146.03571428571	3317.5	3841	4836	0.40276406694391	0.0436226697383201	0.125976384810561	0.293605519844271	1.08627833666453
133	129	414755	3215.15503875969	2571	3119	3786	0.413586256729984	0.0378760425698188	0.103595349001736	0.284607161653612	1.17273290549189
134	47	48517	1032.27659574468	805.5	930	1191.5	0.597968186951904	0.125489695588271	0.240570895523731	0.493976375461121	1.30502801872413
135	106	237544	2240.98113207547	1542.75	2070	2789	0.467520721782841	0.0428861250351907	0.122213504582642	0.312354472329437	1.1661078952118
136	71	227214	3200.19718309859	2093.5	2924	4149	0.454618832367635	0.0439436445017059	0.128125043083831	0.317549075918736	1.14980125978057
137	128	779428	6089.28125	4831.75	5860	7112.75	0.420995030089184	0.0255713324111171	0.0887468847860834	0.267495511021471	1.15432730674476
138	76	149237	1963.64473684211	1171	1689.5	2624	0.529356121160301	0.0657908229525028	0.135823498779318	0.388577558087616	1.49501586484344
139	58	160483	2766.94827586207	1832.25	2557	3421	0.444400414670355	0.0613620682528363	0.143638487118155	0.336140090130648	1.15809197466983
140	78	217929	2793.96153846154	2270	2674	3199.75	0.238484469163736	0.0453700557031079	0.109492296563862	0.240330606358681	0.62939056790312
141	103	303751	2949.03883495146	2220	2881	3406.5	0.222287586359533	0.0326602334701606	0.0921484363141852	0.21042537781128	0.662417780789252
142	76	152675	2008.88157894737	1503.25	1901	2358.25	0.251027176985271	0.0643418627404045	0.121245493846852	0.246038286623105	0.671127662918196
143	78	179352	2299.38461538462	1822.75	2263	2728.25	0.248370854211343	0.054945051330456	0.113440905055026	0.238127999912182	0.614352068387679
144	100	213519	2135.19	1514.5	2001.5	2575	0.237897948433906	0.0462476775459254	0.0927715128057342	0.220528809170336	0.670351803108234
145	91	259571	2852.42857142857	1685.5	2839	3881	0.262950996316336	0.0381629668104428	0.0951061538301625	0.237517216123665	0.742455896799364
146	78	158857	2036.62820512821	1351.75	1892	2512.5	0.229947472923738	0.0618838060648911	0.114001730054001	0.213435484270533	0.545298720897653
147	84	81460	969.761904761905	565.25	978.5	1296.5	0.289287589005129	0.0787305124098644	0.137180712037162	0.267167815132832	0.610077461593873
148	67	221746	3309.64179104478	2689	3094	3806	0.247774872352091	0.0446331316204474	0.107853967668506	0.23087383230083	0.636780182826706
149	82	122732	1496.73170731707	1018.25	1375	1945.25	0.262164455202231	0.0794517936996747	0.132236786395953	0.245176537441849	0.578748072475639
150	43	29684	690.325581395349	497.5	673	880	0.412341846428259	0.161769305942926	0.289268125163862	0.462130245327428	0.882929606812775
151	71	66132	931.43661971831	706.5	903	1037.5	0.38653068869283	0.0887141668513159	0.150226627929053	0.288581659181483	0.68466121008064
152	78	124185	1592.11538461538	1070	1498	2104	0.343805434444687	0.0563486856829714	0.0926109366071656	0.190980358489051	0.608433887982606
153	93	132301	1422.59139784946	1058	1310	1643	0.294288975498162	0.0739400437214528	0.13126254523579	0.251390634833617	0.668020364011077
154	38	40591	1068.18421052632	795.5	952.5	1233	0.402011126980448	0.114765963529222	0.229379593623722	0.381417513601657	0.812681339734602
155	85	59639	701.635294117647	539	656	805	0.308162936804207	0.107353711321616	0.181009255726416	0.35320906122003	0.789101213910562
156	89	51642	580.247191011236	457	552	693	0.38368526994509	0.133850565002843	0.230677300342264	0.405209134658722	0.799422917555654
157	73	36661	502.205479452055	352	461	582	0.452992258369975	0.178326701682218	0.307258401943769	0.537391045380847	1.0296986060858
158	61	21545	353.196721311475	209	342	478	0.533469398022976	0.253468551317142	0.404418668744129	0.636477823622802	1.12587650215592
159	100	26342	263.42	165	236	327.75	0.519141475239462	0.240260919488949	0.34522213347061	0.613467927134459	1.13880944963428
160	45	26125	580.555555555556	370	465	669	0.440220530494298	0.195478390096035	0.34184166530954	0.531503107409871	0.983548315781529
161	57	27457	481.701754385965	329	418	585	0.524661120184475	0.21859079124864	0.326525203594905	0.595586130064804	1.13550547118985
162	42	8722	207.666666666667	128.75	168.5	218	0.916646811165442	0.537551409250473	0.730253139914028	0.890203991971632	1.6124430247641
163	41	9894	241.317073170732	131	192	318	0.857914062813027	0.45353076904893	0.640909992255656	0.842670332943722	1.5528405282357
164	76	15370	202.236842105263	116.75	163	235.75	0.65580596361766	0.286897043231658	0.447368713601101	0.601981377482796	1.13044195765471
165	67	257404	3841.85074626866	2943	3838	4858.5	0.332525685235288	0.0385319154385918	0.0764466160942305	0.162240455769287	0.535078749799708
166	52	233064	4482	2927	4104	5508.5	0.352462828732243	0.0425599278718026	0.0812583763597435	0.166318449110666	0.5075878077489
167	69	286952	4158.72463768116	2830	3665	5025	0.303265801198109	0.0346062684570769	0.0772717655955657	0.173082146840619	0.595307139355794
168	109	170529	1564.48623853211	1011	1352	1970	0.548594493302426	0.0576601458352359	0.0905141041253944	0.198357381970503	0.713266591339602
169	66	144483	2189.13636363636	1692.25	2018	2702.5	0.529444028382833	0.0498497072420714	0.0798176415757546	0.173809189466606	0.609793059522151
170	77	213884	2777.71428571429	2226	2717	3364	0.398365140385781	0.0462171293843872	0.0867481341872464	0.172272029074584	0.539169719531075
171	44	98822	2245.95454545455	1595	2029.5	2591.5	0.448446231249402	0.0660329688867528	0.120006471888865	0.24495291848181	0.747362584067998
172	97	729497	7520.58762886598	6111	7642	8855	0.403473169808457	0.027352068950444	0.0919114081927382	0.244101308877288	0.824290182222054
173	80	449451	5618.1375	4159.25	5478.5	7092.25	0.548372517265842	0.0308962985102577	0.087829106319179	0.227694249235873	0.817773218033766
174	53	83444	1574.41509433962	1105	1441	1842	0.52077302401214	0.064806600457001	0.115849489057375	0.244225197472573	0.686091506441545
175	47	125167	2663.12765957447	2030	2488	2906	0.31119570249718	0.0693266318994077	0.115448656730348	0.227280018637757	0.584841580989101
176	76	129485	1703.75	1045.75	1531	2189.5	0.334988732311754	0.0694766389942867	0.109127520325874	0.212494751402804	0.59436450003168
177	59	178471	3024.93220338983	1947.5	2491	3542.5	0.565230485748838	0.0552888509998319	0.0873886576461139	0.200462063494603	0.859877728765985
178	98	147383	1503.90816326531	977.5	1407.5	2025.5	0.565971256250162	0.0583584303026674	0.0819540957093799	0.181372559141714	0.676006694015616
179	82	144464	1761.75609756098	1239	1726.5	2307.25	0.516722772092724	0.0562987586556716	0.0900605022923538	0.179893594637783	0.617415789208744
180	120	127292	1060.76666666667	672.5	930.5	1271.25	0.543591144679588	0.0767107979161101	0.131081124422795	0.297638653826318	1.09026397376023
181	40	34468	861.7	735.5	830	977.75	0.770714333413802	0.153467807832994	0.266458241853294	0.529914540183101	1.44659475584191
182	104	96183	924.836538461538	587	816	1146	0.483569129179461	0.0893785079104988	0.159620139806255	0.34780492707104	1.08226493284435
183	34	35411	1041.5	745	990	1104.25	0.509917483521393	0.137340807828318	0.260329670965579	0.47664172785013	0.966774216295146
184	58	51474	887.48275862069	677.75	896	1136.5	0.478861613100912	0.128070604114346	0.236229648608893	0.497033026221534	1.23860540411874
185	74	57187	772.797297297297	662.75	778	880	0.547743433003962	0.129193923750246	0.23618116327203	0.464809155541515	1.27931470039089
186	50	37938	758.76	651.75	796.5	896.25	0.659030445879296	0.152986309615116	0.282780822195843	0.545782025005595	1.38683215722058
187	82	76550	933.536585365854	588.5	879.5	1172	0.544888912876613	0.0901800280586367	0.164097244894265	0.372785616485521	1.17845321497307
188	61	67681	1109.52459016393	742	1108	1412	0.657749887109488	0.0965658504955369	0.184170648345235	0.412694941536384	1.30138482745941
189	74	181066	2446.83783783784	1573.5	2399	2999.25	0.606224162551195	0.0544474734372021	0.0689294489247472	0.177701522911364	0.742110874819098
190	58	85593	1475.74137931034	835.5	1297	1912.5	0.898803406243785	0.0811675308890805	0.145178352675314	0.33800537083359	1.22518685657968
