	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_4099	1	1	0	0	0	1	0
OG_4112	1	0	0	0	0	0	0
OG_4114	0	1	1	1	1	1	1
OG_4137	0	0	1	1	1	0	0
OG_4149	0	0	0	1	0	0	0
OG_4152	1	1	1	1	1	1	1
OG_4176	1	0	0	0	0	0	0
OG_4179	0	1	1	1	1	1	1
OG_4241	1	0	1	1	1	1	1
OG_4242	1	0	0	0	0	0	0
OG_4276	2	0	1	0	1	1	1
OG_4287	0	0	0	1	0	0	0
OG_4293	0	0	1	1	1	0	0
OG_4299	1	0	0	0	0	0	0
OG_43	0	1	1	0	1	1	1
OG_4308	1	1	1	1	1	1	1
OG_4320	0	1	0	1	1	1	1
OG_4374	1	1	0	1	1	1	1
OG_4404	1	1	0	0	0	1	0
OG_4405	0	0	1	0	0	0	0
OG_4406	0	0	1	0	0	0	0
OG_4408	0	0	0	1	0	0	0
OG_4417	1	1	1	0	1	1	1
OG_4434	1	1	1	0	1	1	1
OG_4440	1	1	0	0	0	1	0
OG_4441	0	0	1	0	0	0	0
OG_4443	1	0	0	0	0	0	0
OG_445	0	0	0	1	0	0	0
OG_4450	1	1	1	1	1	1	1
OG_4462	1	0	0	0	0	0	0
OG_4473	0	0	1	0	0	0	0
OG_4477	0	0	1	1	1	0	0
OG_448	0	1	0	1	1	1	1
OG_4483	0	0	1	0	0	0	0
OG_4509	1	0	0	0	0	0	0
OG_4512	0	0	1	0	0	0	0
OG_4537	1	1	0	0	0	1	0
OG_4541	2	1	0	1	1	1	1
OG_4550	0	0	1	1	1	0	0
OG_4592	0	1	2	3	1	1	1
OG_4593	0	1	0	0	0	0	0
OG_4634	0	0	1	0	0	0	0
OG_4635	2	4	3	2	1	1	1
OG_4654	1	1	1	1	1	1	1
OG_4657	1	1	1	3	1	1	1
OG_4660	1	2	2	1	1	1	1
OG_4662	1	1	0	0	0	1	0
OG_4663	1	0	0	0	0	0	0
OG_4666	1	0	0	0	0	0	0
OG_4668	1	1	1	1	1	1	1
OG_4676	0	0	1	0	0	0	0
OG_4680	1	1	1	1	1	1	1
OG_4681	1	1	1	1	1	1	1
OG_4694	1	0	0	0	0	0	0
