orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
OG_2525	HoiH23	HoiH23		1	0	1
OG_2528	Dmel,Hvul,Mlei,Mmus	Metazoa	Anthozoa,Placozoa,Spolac	1	3	9
OG_2536	Mmus	Mmus		1	0	2
OG_2544	Spolac	Spolac		1	0	1
OG_2556	Hvul	Hvul		1	0	1
OG_2559	HoiH23,Nvec,Spis,TrH2	CniBilPla	Bilateria,Hhon,Hvul,Tadh	1	4	11
OG_2565	Dmel,Hhon,Tadh,TrH2	CniBilPla	Cnidaria,HoiH23,Mmus	1	3	10
OG_2575	Dmel	Dmel		1	0	5
OG_2579	TrH2	TrH2		1	0	1
OG_2595	Mmus	Mmus		1	0	1
OG_2599	Hhon,Spolac	Metazoa	CniBil,HoiH23,Mlei,Trichoplax	1	4	6
OG_2600	Hvul	Hvul		1	0	1
OG_2603	Hhon,Tadh,TrH2	Placozoa	HoiH23	1	1	6
OG_2609	Hvul	Hvul		1	0	1
OG_2611	Hvul	Hvul		1	0	1
OG_2613	Spis	Spis		1	0	1
OG_2617	Hvul	Hvul		1	0	1
OG_2623	Spolac	Spolac		1	0	1
OG_2637	Mmus	Mmus		1	0	1
OG_265	Hvul	Hvul		1	0	1
OG_2651	Mlei	Mlei		1	0	1
OG_2655	Hvul,Mmus	CniBil	Anthozoa,Dmel	1	2	6
OG_2661	Hvul	Hvul		1	0	1
OG_2662	Dmel	Dmel		1	0	1
OG_2663	Hvul	Hvul		1	0	1
OG_2668	Mmus	Mmus		1	0	1
OG_2678	Dmel,HoiH23,Hvul,Mmus,Spolac,Tadh,TrH2	Metazoa	Anthozoa,Hhon,Mlei	1	3	17
OG_2685	Dmel	Dmel		1	0	1
OG_269	Mmus	Mmus		1	0	1
OG_2693	Hhon	Hhon		1	0	1
OG_2695	Spolac	Spolac		1	0	1
OG_2696	Mmus	Mmus		1	0	1
OG_2714	Spis	Spis		1	0	3
OG_2717	Tadh	Tadh		1	0	1
OG_2726	Dmel	Dmel		1	0	2
OG_2729	Mmus	Mmus		1	0	1
OG_2745	Dmel,Mmus	Bilateria		1	0	3
OG_2748	Dmel,Mmus,Spolac	Metazoa	Cnidaria,Mlei,Placozoa	1	3	7
OG_2755	Mmus	Mmus		1	0	1
OG_2767	Spolac	Spolac		1	0	1
OG_277	Hvul	Hvul		1	0	1
OG_2770	Mlei	Mlei		1	0	1
OG_2771	Dmel	Dmel		1	0	2
OG_2772	Dmel	Dmel		1	0	2
OG_2773	Mmus	Mmus		1	0	1
OG_2774	Tadh	Tadh		1	0	1
OG_2778	Spis	Spis		1	0	1
OG_2785	Hhon,Hvul	CniBilPla	Anthozoa,Bilateria,HoiH23,Trichoplax	1	4	7
OG_2789	Mmus	Mmus		1	0	1
OG_2790	HoiH23	HoiH23		1	0	1
