metacell	cell_type	broad_cell_type	color
300	muscle_cell	Muscle_Cell	#9A067E
301	muscle_cell	Muscle_Cell	#9A067E
302	muscle_cell	Muscle_Cell	#9A067E
303	muscle_cell	Muscle_Cell	#9A067E
304	muscle_cell	Muscle_Cell	#9A067E
305	muscle_cell	Muscle_Cell	#9A067E
306	muscle_cell	Muscle_Cell	#9A067E
307	muscle_cell	Muscle_Cell	#9A067E
308	muscle_cell	Muscle_Cell	#9A067E
309	muscle_cell	Muscle_Cell	#9A067E
310	muscle_cell	Muscle_Cell	#9A067E
311	muscle_cell	Muscle_Cell	#9A067E
312	muscle_cell	Muscle_Cell	#9A067E
313	muscle_cell	Muscle_Cell	#9A067E
314	muscle_cell	Muscle_Cell	#9A067E
315	muscle_cell	Muscle_Cell	#9A067E
316	muscle_cell	Muscle_Cell	#9A067E
317	muscle_cell	Muscle_Cell	#9A067E
318	muscle_cell	Muscle_Cell	#9A067E
319	muscle_cell	Muscle_Cell	#9A067E
320	muscle_cell	Muscle_Cell	#9A067E
321	muscle_cell	Muscle_Cell	#9A067E
322	muscle_cell	Muscle_Cell	#9A067E
323	muscle_cell	Muscle_Cell	#9A067E
324	muscle_cell	Muscle_Cell	#9A067E
325	muscle_cell	Muscle_Cell	#9A067E
326	muscle_cell	Muscle_Cell	#9A067E
327	muscle_cell	Muscle_Cell	#9A067E
328	muscle_cell	Muscle_Cell	#9A067E
329	muscle_cell	Muscle_Cell	#9A067E
330	muscle_cell	Muscle_Cell	#9A067E
331	muscle_cell	Muscle_Cell	#9A067E
332	muscle_cell	Muscle_Cell	#9A067E
333	muscle_cell	Muscle_Cell	#9A067E
334	muscle_cell	Muscle_Cell	#9A067E
335	muscle_cell	Muscle_Cell	#9A067E
336	muscle_cell	Muscle_Cell	#9A067E
337	muscle_cell	Muscle_Cell	#9A067E
338	muscle_cell	Muscle_Cell	#9A067E
339	muscle_cell	Muscle_Cell	#9A067E
340	muscle_cell	Muscle_Cell	#9A067E
341	muscle_cell	Muscle_Cell	#9A067E
342	muscle_cell	Muscle_Cell	#9A067E
