Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_119	8.481411	6.124678
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	10	batch2	HoiH23	HoiH23_148	9.331902	3.0056202
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_61	9.149665	10.017336
unassigned	unassigned	unassigned	epithelia_unknown	plum3	13	batch2	HoiH23	HoiH23_171	7.916016	0.13281778
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_181	-0.10521036	-0.6804575
unassigned	unassigned	unassigned	lipophil_1	khaki2	3	batch2	HoiH23	HoiH23_6	15.592985	-3.0284328
unassigned	unassigned	unassigned	peptidergic_zeta_like	steelblue3	32	batch2	HoiH23	HoiH23_220	18.451694	7.776079
unassigned	unassigned	unassigned	peptidergic_kappa	deepskyblue3	40	batch2	HoiH23	HoiH23_229	7.1182017	-13.190813
unassigned	unassigned	unassigned	epithelia_gland_like	orange	11	batch2	HoiH23	HoiH23_109	8.728936	7.5108833
unassigned	unassigned	unassigned	lipophil_2	khaki3	4	batch2	HoiH23	HoiH23_27	4.298299	20.79368
unassigned	unassigned	unassigned	gland_1	darkorange3	9	batch2	HoiH23	HoiH23_58	9.7829485	9.981692
unassigned	unassigned	unassigned	unknown_1	darkolivegreen2	22	batch2	HoiH23	HoiH23_38	-7.4312096	14.955178
unassigned	unassigned	unassigned	lipophil_2	khaki3	4	batch2	HoiH23	HoiH23_27	4.3562717	20.126677
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	17	batch2	HoiH23	HoiH23_145	6.6083355	3.4125721
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_180	-0.27829444	-0.8708251
unassigned	unassigned	unassigned	epithelia_gland_like	orange	11	batch2	HoiH23	HoiH23_115	8.479774	6.1867776
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_119	8.585532	6.3029175
unassigned	unassigned	unassigned	gland_1	darkorange3	9	batch2	HoiH23	HoiH23_60	9.012129	8.665215
unassigned	unassigned	unassigned	gland_1	darkorange3	7	batch2	HoiH23	HoiH23_66	9.430947	9.819005
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	1	batch2	HoiH23	HoiH23_190	0.5048034	-1.5586426
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_138	7.710169	3.1782687
unassigned	unassigned	unassigned	peptidergic_zeta_like	steelblue3	52	batch2	HoiH23	HoiH23_220	-3.014662	16.826788
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_206	1.0133475	-1.372474
unassigned	unassigned	unassigned	gland_1	darkorange3	7	batch2	HoiH23	HoiH23_74	8.680682	10.416675
unassigned	unassigned	unassigned	lipophil_1	khaki2	3	batch2	HoiH23	HoiH23_12	15.916698	-2.24544
unassigned	unassigned	unassigned	gland_1	darkorange3	9	batch2	HoiH23	HoiH23_59	9.106472	8.80492
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	15	batch2	HoiH23	HoiH23_189	0.3883974	-1.4208732
unassigned	unassigned	unassigned	epithelia_unknown	plum3	13	batch2	HoiH23	HoiH23_171	7.817372	-0.3634164
unassigned	unassigned	unassigned	epithelia_gland_like	orange	11	batch2	HoiH23	HoiH23_114	5.691688	1.6894261
unassigned	unassigned	unassigned	trans_gland_epithelia_dorsal	gray50	1	batch2	HoiH23	HoiH23_108	0.75595146	-2.0470757
unassigned	unassigned	unassigned	peptidergic_theta	royalblue3	31	batch2	HoiH23	HoiH23_224	-12.624434	13.718074
unassigned	unassigned	unassigned	gland_1	darkorange3	7	batch2	HoiH23	HoiH23_73	9.716607	10.224372
unassigned	unassigned	unassigned	epithelia_unknown	plum3	25	batch2	HoiH23	HoiH23_164	8.159634	-1.4141754
unassigned	unassigned	unassigned	trans_lipophil_2_epithelia	gray40	1	batch2	HoiH23	HoiH23_34	0.45113555	-1.6663734
unassigned	unassigned	unassigned	gland_1	darkorange3	9	batch2	HoiH23	HoiH23_54	9.300725	8.721964
unassigned	unassigned	unassigned	peptidergic_mu	cyan3	48	batch2	HoiH23	HoiH23_232	-2.550153	-10.04666
