Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
peptidergic_lambda	cyan2	41	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_lambda	17.715113	7.5926156
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	2.1531537	4.2144437
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	5.681549	-6.705303
trans_lipophil_1_gland	gray75	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_lipophil_1_gland	-0.8545432	16.021708
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	6.0602283	2.7545512
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	5.445332	3.0185876
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_iota	21.83608	0.10062708
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	6.0020356	-6.5050097
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_trans_epithelia_dorsal_ventral	4.101686	4.0366297
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	0.059128806	15.260941
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_fibre	15.310257	12.940913
unknown_2.1	darkolivegreen3	52	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.1	4.967726	-2.2674294
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	6.3036075	6.0078635
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	6.2488422	3.0981119
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	5.405608	-6.611546
epithelia_unknown_1	plum3	43	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_1	6.0046554	6.9734983
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	6.7633004	3.2119975
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	5.9503145	-6.8260183
epithelia_gland_like	orange	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_gland_like	5.68391	-1.0163842
epithelia_unknown_2	plum3	29	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	5.7081585	0.2053145
peptidergic_beta	dodgerblue3	44	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_beta	-1.2756902	-11.952162
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	4.834099	3.0811229
