Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	4.475538	12.391376
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_50	6.4524593	11.4715395
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	6.3415256	13.045186
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_111	3.4449036	-2.0889146
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	6.588954	0.7796971
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_31	18.130487	13.53627
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	6.466842	0.83277
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	6.348913	12.990054
peptidergic_beta	dodgerblue3	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_167	0.36647233	-10.5421
peptidergic_mu	cyan3	32	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_183	13.427387	21.355549
peptidergic_nu	cyan4	50	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_188	8.838897	20.836397
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_129	6.088856	0.0006779185
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_96	3.6170166	-2.4000983
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	-10.381384	9.20736
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_19	-10.346854	8.986835
peptidergic_mu_like	cyan3	39	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_187	8.517415	23.330534
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_186	1.8050857	14.558127
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	-10.171739	9.116727
peptidergic_lambda	cyan2	41	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_181	17.140877	-9.966463
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	2.8544326	3.1125622
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_50	4.743586	12.771563
trans_lipophil_1_gland	gray75	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_21	-9.829502	9.044036
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_96	3.821611	-2.3345053
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_125	4.8750434	1.1620342
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	22.56188	1.5643772
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	4.3313327	11.850968
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_136	1.1564837	1.7145587
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	-10.461164	9.400049
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_37	19.349346	14.749492
unknown_2.1	darkolivegreen3	52	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_26	4.9591975	8.498629
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_96	3.7248755	-2.5965703
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	6.3951855	1.4555053
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	4.768844	12.873478
epithelia_unknown_1	plum3	43	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_91	2.6742885	-2.9023407
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	3.5001779	-2.2567167
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	4.6933413	12.643473
epithelia_gland_like	orange	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_89	6.9544845	-1.8085002
epithelia_unknown_2	plum3	29	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	5.624956	-2.429804
peptidergic_beta	dodgerblue3	44	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_167	-0.024379078	-9.991228
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	4.614089	1.0339203
trans_lipophil_1_gland	gray75	42	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_22	4.6220245	11.678913
epithelia_unknown_2	plum3	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_99	5.4681582	-1.1666634
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	3.7310574	-2.6964447
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	3.584623	-2.49573
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	4.0141864	-2.4304035
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	5.0146747	12.761543
trans_gland_epithelia	gray45	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_77	6.0793786	12.849824
peptidergic_zeta	steelblue3	30	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_173	-3.8767219	-11.457347
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_174	16.941616	-4.3666377
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_34	19.281643	14.4087105
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.24093	8.005679
peptidergic_theta	royalblue3	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_176	16.9614	-4.0265164
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_111	6.5904145	0.71833193
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	3.6415448	-2.593082
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	4.338576	0.917002
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	3.6924882	-2.5199735
epithelia_dorsal	mediumorchid3	25	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	1.3952082	3.5352437
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_175	16.842344	-4.9971123
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_138	4.4564047	1.2939657
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	22.519276	1.5257105
peptidergic_delta	skyblue3	45	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_170	3.7161882	4.070911
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	0.08320832	2.2005782
epithelia_dorsal	mediumorchid3	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_158	2.8377433	3.1232393
