	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_10375	1	1	0	0	0	1	0
OG_10376	1	1	1	1	1	1	1
OG_10377	1	1	0	0	0	1	0
OG_10378	1	1	1	1	1	1	1
OG_10379	1	1	1	1	1	1	1
OG_1038	1	1	1	1	1	1	1
OG_10380	1	1	0	0	0	1	0
OG_10381	1	1	0	0	0	1	0
OG_10382	1	1	0	0	0	1	0
OG_10383	1	1	0	0	0	1	0
OG_10384	1	1	0	0	0	1	0
OG_10385	1	1	0	0	0	1	0
OG_10386	1	1	0	0	0	1	0
OG_10387	1	1	0	0	0	1	0
OG_10388	1	1	1	0	1	1	1
OG_10389	1	1	1	0	1	1	1
OG_1039	1	1	1	1	1	1	1
OG_10390	1	1	0	0	0	1	0
OG_10391	1	1	0	0	0	1	0
OG_10392	1	1	0	0	0	1	0
OG_10393	1	1	1	0	1	1	1
OG_10394	1	1	0	0	0	1	0
OG_10395	1	1	0	0	0	1	0
OG_10396	1	1	0	0	0	1	0
OG_10397	1	1	0	0	0	1	0
OG_10398	1	1	0	0	0	1	0
OG_10399	1	1	0	0	0	1	0
OG_104	1	1	1	1	1	1	1
OG_1040	1	1	1	1	1	1	1
OG_10400	1	1	0	0	0	1	0
OG_10401	1	1	0	0	0	1	0
OG_10402	1	1	0	0	0	1	0
OG_10403	1	1	1	0	1	1	1
OG_10404	1	1	0	0	0	1	0
OG_10405	1	1	0	0	0	1	0
OG_10406	1	1	0	0	0	1	0
OG_10407	1	1	1	1	1	1	1
OG_10408	1	1	0	0	0	1	0
OG_10409	1	1	0	0	0	1	0
OG_1041	1	1	1	1	1	1	1
OG_10410	1	1	0	0	0	1	0
OG_10411	1	1	0	0	0	1	0
OG_10412	1	1	0	0	0	1	0
OG_10413	1	1	0	0	0	1	0
OG_10414	1	1	0	0	0	1	0
OG_10415	1	1	0	0	0	1	0
OG_10416	1	1	0	0	0	1	0
OG_10417	1	1	0	0	0	1	0
OG_10418	1	1	0	0	0	1	0
OG_10419	1	1	0	0	0	1	0
OG_1042	1	1	1	1	1	1	1
OG_10420	1	1	0	0	0	1	0
OG_10421	1	1	0	0	0	1	0
OG_10422	1	1	0	0	0	1	0
OG_10423	1	1	0	0	0	1	0
OG_10424	1	1	0	0	0	1	0
OG_10425	1	1	0	0	0	1	0
OG_10426	1	1	0	0	0	1	0
OG_10427	1	1	0	0	0	1	0
OG_10428	1	1	1	1	1	1	1
OG_10429	1	1	0	0	0	1	0
OG_1043	1	1	1	1	1	1	1
OG_10430	1	1	0	0	0	1	0
OG_10431	3	2	1	0	1	1	1
OG_10432	1	1	0	0	0	1	0
OG_10433	1	1	0	0	0	1	0
OG_10434	1	1	0	0	0	1	0
OG_10435	1	1	0	0	0	1	0
OG_10436	1	1	0	0	0	1	0
OG_10437	1	1	0	0	0	1	0
OG_10438	1	1	0	0	0	1	0
OG_10439	1	1	0	0	0	1	0
OG_1044	1	1	1	1	1	1	1
OG_10440	1	1	0	0	0	1	0
OG_10441	1	1	0	0	0	1	0
OG_10442	1	1	0	0	0	1	0
OG_10443	1	1	0	0	0	1	0
OG_10444	1	1	1	0	1	1	1
OG_10445	1	1	0	0	0	1	0
OG_10446	1	1	0	0	0	1	0
OG_10447	1	1	0	0	0	1	0
OG_10448	1	1	0	0	0	1	0
OG_10449	1	1	0	0	0	1	0
OG_1045	1	1	1	1	1	1	1
OG_10450	1	1	1	1	1	1	1
OG_10451	2	1	0	0	0	1	0
OG_10452	1	1	1	1	1	1	1
OG_10453	1	1	0	0	0	1	0
OG_10454	1	1	0	0	0	1	0
OG_10455	1	1	1	1	1	1	1
OG_10456	1	1	0	0	0	1	0
OG_10457	1	1	0	0	0	1	0
OG_10458	1	1	0	0	0	1	0
